,gene,functional_group
1051,SUPT20H,33
1052,CCNC,12
1053,ACTR3,49
1054,FOXO1,4
1055,XRRA1,41
1056,RNASEH1,19
1057,EDC3,7
1058,LCK,10
1059,COX10,34
1060,GCN1,1
1061,TRIM2,15
1062,RFX1,22
1063,CCDC12,15
1064,TMEM79,11
1065,ZNF148,14
1066,GEN1,18
1067,MRPL42,19
1068,GPATCH3,7
1069,CRY1,14
1070,ALDH18A1,4
1071,CBLL1,6
1072,FAM110A,8
1073,NPHP4,7
1074,CIR1,1
1075,ZNF35,47
1076,ZNF628,20
1077,ZNF81,5
1078,EIPR1,47
1079,GID8,3
1080,SIN3B,6
1081,IGHMBP2,16
1082,HSPBAP1,18
1083,STAT5B,0
1084,COPS8,27
1085,PTBP1,4
1086,STK25,42
1087,HP1BP3,20
1088,ICOS,9
1089,SUN1,25
1090,LENG8,37
1091,CAD,34
1092,KMT5B,29
1093,ZNF644,29
1094,DAD1,1
1095,EIF5A,26
1096,EIF4A1,28
1097,C1orf115,18
1098,CYB5D1,8
1099,POMGNT1,9
1100,MED23,29
1101,USP7,35
1102,C19orf54,32
1103,ELP1,45
1104,TFAP4,32
1105,DPH1,25
1106,ELP4,45
1107,CAND1,5
1108,SLC25A51,19
1109,GNMT,28
1110,NDUFA10,14
1111,SLC18A2,21
1112,HEXDC,30
1113,MOSMO,24
1114,TMEM265,14
1115,USP13,15
1116,APAF1,16
1117,MAU2,28
1118,NASP,32
1119,RWDD2B,7
1120,DHRS7,10
1121,SMAGP,39
1122,CTPS1,35
1123,HMGN5,12
1124,ZNF43,33
1125,LAMTOR3,17
1126,INIP,9
1127,PA2G4,49
1128,PCBP4,28
1129,INTS10,36
1130,SUPT7L,33
1131,ZNF384,10
1132,SLAMF6,32
1133,TMED10,29
1134,STRAP,11
1135,PIGB,12
1136,ZW10,15
1137,CRLS1,36
1138,MLYCD,24
1139,TROVE2,22
1140,TRIP12,0
1141,PGK1,10
1142,ELOF1,25
1143,PDK1,18
1144,ARPC2,6
1145,TRIM39,37
1146,AP4M1,21
1147,RNF8,3
1148,NPC2,2
1149,COQ3,0
1150,DNAH3,15
1151,HOXB13,9
1152,SMAD3,12
1153,MLST8,16
1154,CCDC137,32
1155,PHACTR4,14
1156,TMEM205,7
1157,LAMTOR5,30
1158,MAP1LC3B,1
1159,URM1,45
1160,AGPAT1,5
1161,DLG3,38
1162,DESI1,9
1163,TIMM9,1
1164,FANCI,3
1165,OTUB1,3
1166,SNUPN,43
1167,SMG5,11
1168,SCAF8,22
1169,ATP5MF,19
1170,PSMF1,32
1171,C18orf25,38
1172,KMT2B,6
1173,WIZ,11
1174,CREB1,1
1175,HOXD13,8
1176,IRF2BP1,43
1177,EWSR1,24
1178,TMED9,27
1179,ZNF254,1
1180,PIAS1,14
1181,DHPS,26
1182,GMEB2,4
1183,RPRD1B,6
1184,NKX2-2,29
1185,C16orf87,13
1186,ZNF641,52
1187,PAIP1,26
1188,TNK1,32
1189,DAXX,1
1190,AP3D1,9
1191,GATA3,30
1192,SLC35B1,26
1193,EFHD2,5
1194,SMG1,11
1195,H2AFZ,28
1196,RAB24,6
1197,ELP5,45
1198,METTL1,26
1199,KDM4A,9
1200,PGS1,26
1201,IFNAR1,6
1202,TIAL1,8
1203,PKNOX1,6
1204,ATP2A2,40
1205,BCLAF1,11
1206,SMARCD1,4
1207,GZMB,46
1208,UBL3,37
1209,PPM1L,18
1210,R3HCC1L,6
1211,FOXN2,43
1212,GPR137,17
1213,ZSCAN25,9
1214,LBH,18
1215,EIF3L,3
1216,RAD50,5
1217,MRPL45,2
1218,CDK13,3
1219,DTWD1,22
1220,MAN2A1,46
1221,MCM8,2
1222,MOV10,9
1223,MSL2,29
1224,FAM120A,43
1225,TPI1,26
1226,BRD7,38
1227,BAZ1A,21
1228,UGDH,40
1229,MRPL18,19
1230,CISD1,44
1231,ISCA2,19
1232,INSR,18
1233,METTL23,1
1234,CHEK2,5
1235,PTMA,42
1236,ATP5MF-PTCD1,17
1237,TNFRSF1A,29
1238,MTMR3,7
1239,SRP14,39
1240,CTU1,45
1241,ARF1,15
1242,CWC27,31
1243,IFI27L1,0
1244,CKAP2L,14
1245,GPR82,3
1246,ERCC6L,13
1247,PTPRC,16
1248,PQBP1,17
1249,ELOB,4
1250,CSK,23
1251,RCOR3,24
1252,NDUFA8,19
1253,CASK,28
1254,COX6C,2
1255,LAGE3,27
1256,PCBP2,5
1257,CDC25B,18
1258,ATP5F1A,2
1259,GDF9,3
1260,MINOS1,11
1261,EHMT1,20
1262,MAPRE3,38
1263,SNPH,23
1264,PROX2,25
1265,MRPS2,2
1266,RAF1,9
1267,HNRNPD,9
1268,INO80C,17
1269,PARS2,19
1270,GBA,14
1271,CAMSAP1,10
1272,HMGA1,46
1273,PDSS2,34
1274,NKX6-3,7
1275,STXBP4,19
1276,PPIH,6
1277,CYTH3,47
1278,MOSPD1,20
1279,PHF19,44
1280,LSM12,39
1281,UBE2I,38
1282,NR2E1,15
1283,DIS3L2,7
1284,ZBTB39,1
1285,PKM,19
1286,COASY,10
1287,EP300,16
1288,FLT1,14
1289,PYROXD1,26
1290,FAM98C,48
1291,NCOR1,41
1292,WNT9A,9
1293,RAD54L2,7
1294,ATAD5,3
1295,FANCA,3
1296,ABHD14A,20
1297,TPR,13
1298,LZTS1,6
1299,ZNF414,21
1300,APC,4
1301,BPTF,0
1302,DRAP1,37
1303,PCYT2,2
1304,CROT,4
1305,CBX5,16
1306,PPP6R2,23
1307,TEP1,18
1308,SLC25A22,10
1309,SKIV2L,17
1310,SEC63,41
1311,TFAM,19
1312,FGFR1OP2,36
1313,LAMTOR2,10
1314,MTERF2,5
1315,MRPS7,2
1316,ZC3H4,36
1317,GAREM1,13
1318,CRYZL1,7
1319,FBXL3,44
1320,NUP188,43
1321,B3GAT1,24
