,cluster,rest_enrich,stim8hr_enrich,stim48hr_enrich,rest_p,stim8hr_p,stim48hr_p,cluster_gene_size,rest_fdr,stim8hr_fdr,stim48hr_fdr
41,19,0.4446479120763878,0.4059989387195972,0.3285673905383412,0.0,0.00020002000200020003,0.005900590059005901,6,0.0,0.01015017615122094,0.25172543207017023
42,78,0.1102576685537863,0.181121691916019,0.5634040767255646,0.0,0.0,0.0,31,0.0,0.0,0.0
43,74,0.3534679138900522,0.6466938261189381,0.543405280257172,0.0,0.0,0.0,11,0.0,0.0,0.0
44,39,0.31444714575727817,0.35421059251208387,0.3105876061197343,0.0,0.0,0.0,12,0.0,0.0,0.0
45,28,0.33064156533468864,0.5298253956221833,0.6202755790071909,0.0,0.0,0.0,49,0.0,0.0,0.0
46,17,0.18266555732057566,0.11891043912613677,0.21603395212165238,0.04940494049404941,0.14391439143914392,0.023902390239023904,5,0.8121318135109952,0.9794444118589607,0.6633363575213617
47,64,0.36156472876581064,0.2526037915539842,0.527960193419134,0.0,0.0,0.0,17,0.0,0.0,0.0
48,82,-0.1007954699489769,0.03396701156660546,0.6943617485377275,0.7028702870287029,0.41174117411741173,0.0,7,0.9999475953762901,0.9994202330074721,0.0
49,37,0.3027134669091848,0.6024082796122324,-0.12998581547486082,0.00020002000200020003,0.0,0.9004900490049005,9,0.01015017615122094,0.0,0.9999999999230206
50,95,0.023333393733758874,0.09576325262398896,0.8707955754819016,0.399039903990399,0.13701370137013702,0.0,21,0.9999284182441683,0.9783178963687481,0.0
51,111,0.25143051021068363,0.17579356557423742,0.7670049398657913,0.0006000600060006001,0.0169016901690169,0.0,10,0.02898344906502797,0.43986039427116413,0.0
52,100,-0.008730368308082406,0.4378943756407868,0.7594069770179377,0.525952595259526,0.0,0.0,13,0.9999475953762901,0.0,0.0
53,62,0.5307867927255465,0.3303124178245712,0.11863706089900734,0.0,0.0023002300230023,0.20612061206120613,4,0.0,0.09427886966906239,0.9997538709117749
54,71,-0.3632672431697796,-0.023844974209758667,-0.10589647837347735,0.8588858885888588,0.5266526652665267,0.6225622562256226,3,0.9999475953762901,0.9994202330074721,0.9999999844548499
55,63,0.21861679360262679,0.3000086303291133,0.46702050168334575,0.002000200020002,0.0,0.0,7,0.08249269105824038,0.0,0.0
56,103,-0.02171305227893295,0.015252131054217275,1.0062219301967146,0.48164816481648165,0.4663466346634663,0.0,4,0.9999475953762901,0.9994202330074721,0.0
57,80,0.7091998630218495,0.629424959259049,0.003331374560290532,0.0,0.0,0.4748474847484748,41,0.0,0.0,0.9999999588846463
58,25,0.7428380109731331,0.17017192792474073,0.18925430076154734,0.0,0.026002600260026,0.011701170117011701,14,0.0,0.5696225396016493,0.4248922565339397
59,50,0.6418867289010469,0.5595674990725581,0.6394157223471676,0.0,0.0,0.0,8,0.0,0.0,0.0
60,48,0.5282683925180066,0.22250454033170014,0.43832962147288157,0.0,0.0,0.0,13,0.0,0.0,0.0
