target,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min
RNF146,RNF146_+_127588467.23-P1P2,TMEM167A,15,5,-1.5227107592511648,0.0002835798363835,0.0191,0.1302730061317007,-0.3157,0.08925326557592375,30,0.08925326557592375
ELP5,ELP5_+_7155888.23-P1P2,OXLD1,15,3,-0.8794239210741557,0.0044173765310586,0.0275,0.029219671139590796,-0.0572,0.6644047594806437,60,0.029219671139590796
CD2BP2,CD2BP2_-_30366557.23-P1P2,ACP1,15,5,-0.5074256220021408,7.982784909498285e-05,,,,,0,
ACTR3,ACTR3_+_114648069.23-P1P2,SASS6,14,5,-2.364487925878427,0.0129509423763051,,,,,0,
TUBA4A,TUBA4A_+_220118576.23-P1P2,CDCA7L,14,6,-2.313811751235221,0.0008834535886183,,,,,0,
SCOC,SCOC_+_141294841.23-P1P2,SEPTIN11,14,5,-1.4013646756264524,1.1079615657576162e-06,,,,,0,
GPR137,GPR137_+_64052316.23-P1,APRT,14,4,-1.3963326887076646,3.2788537922071414e-24,0.0182,0.14859636309028482,0.4465,0.0038748525868421545,40,0.0038748525868421545
GLRX3,GLRX3_-_131934729.23-P1P2,ARIH1,14,4,-1.2869382242222185,0.0317027898747658,,,,,0,
LIN37,LIN37_-_36239516.23-P1P2,ST13,14,6,-1.0585088689056097,3.2149248822550193e-10,,,,,0,
SPN,SPN_-_29674493.23-P1P2,SLC43A3,13,7,-2.966451534968885,1.3410364114266228e-09,,,,,0,
IFT88,IFT88_+_21141505.23-P1P2,GLOD4,13,5,-2.7173240063095623,2.8055477530888992e-05,,,,,0,
COMMD7,COMMD7_+_31331213.23-P1P2,UBLCP1,13,6,-2.316223396506265,0.0161125448725403,0.0705,2.1814404757362693e-08,-0.5881,0.026961364735896252,14,2.1814404757362693e-08
CNOT6,CNOT6_-_179921641.23-P1P2,ODF2,13,5,-2.068635383063657,0.0667295422335343,0.0125,0.3208107681699033,0.0324,0.6447913239293716,205,0.3208107681699033
FLII,FLII_-_18161873.23-P1P2,SPCS2,13,7,-1.856671462516468,4.3683368389223975e-18,,,,,0,
METTL17,METTL17_-_21458170.23-P1P2,RAE1,13,5,-1.5864299362073069,0.0671239700491223,,,,,0,
PPP4C,PPP4C_-_30087361.23-P1P2,NDUFA8,13,6,-1.3360167674150294,1.8817712210493033e-09,0.0195,0.12146268886276836,0.1572,0.3264034167953024,41,0.12146268886276836
DCAF15,DCAF15_-_14063478.23-P1P2,STK24,13,5,-1.2781997701033785,0.0654312288687469,,,,,0,
FEZ2,FEZ2_+_36825278.23-P1P2,PGP,13,6,-1.2463692249262202,5.755749141756156e-13,0.0161,0.2009983085856723,0.2112,0.7331259183291708,5,0.2009983085856723
CABIN1,CABIN1_-_24408062.23-P1P2,HOXB2,13,7,-1.203534128174807,0.0580531921867704,0.001,0.9341957785603124,-0.2047,0.026146687708752624,118,0.026146687708752624
CSPP1,CSPP1_+_67976642.23-P1P2,FBXO22,13,6,-1.1264243122548814,0.040825294226901,,,,,0,
FBXO21,FBXO21_+_117628254.23-P1P2,SPCS2,13,6,-1.098018578208783,0.0120524444761346,,,,,0,
FGFR1OP2,FGFR1OP2_-_27091437.23-P1P2,SLC5A3,13,5,-1.0668634393638523,0.0109678853552643,,,,,0,
CDIPT,CDIPT_+_29874463.23-P1P2,FAM118B,13,5,-0.9044601268067765,0.0628323503150388,,,,,0,
RNF41,RNF41_-_56615654.23-P1P2,PTPN7,12,7,-3.064333751236457,0.0001395718775001,,,,,0,
TMEM214,TMEM214_-_27255873.23-P1P2,LAMTOR1,12,7,-2.732701991310421,8.674619181929547e-09,,,,,0,
VPS26C,DSCR3_+_38639617.23-P1P2,LAP3,12,7,-2.6893888931250736,0.0385962431383571,0.026,0.03950570287714148,-0.8455,2.678290192767987e-06,20,2.678290192767987e-06
CALM2,CALM2_+_47403695.23-P1P2,UBE2B,12,7,-2.664410052222024,0.0033315838136517,,,,,0,
ENGASE,ENGASE_-_77071041.23-P1P2,EBPL,12,4,-2.3672287636595373,1.4106305384851676e-22,0.005,0.6928525019294292,,,2,0.6928525019294292
