gene_name,direct_effect,lm_coef,tf,condition
NMT2,-0.7731968175344833,0.1214431690959718,GATA3,Stim8hr
OGT,0.2045505551949945,-0.02034798775770543,GATA3,Stim8hr
OSM,-1.5197669096526614,0.13490205617239248,GATA3,Stim8hr
PDCL3,0.1853859492098692,-0.011146972242674575,GATA3,Stim8hr
PFKM,-0.4683640514985165,-0.04217465206250867,GATA3,Stim8hr
PIKFYVE,-0.3336496306929954,0.000634870232225998,GATA3,Stim8hr
PKM,0.2315600968691479,0.02442099834460308,GATA3,Stim8hr
PLEKHB2,-0.2138930380780427,0.008010635656523532,GATA3,Stim8hr
PTPN7,-0.4174377159302925,0.07973226451204346,GATA3,Stim8hr
RAB3GAP1,-0.2698020020824925,0.1314911712170965,GATA3,Stim8hr
RBM38,-0.3530918002932839,0.07963536991863199,GATA3,Stim8hr
RCSD1,-0.3634681333407847,0.028912366770516548,GATA3,Stim8hr
RGS16,-0.475502820374995,0.07512576940717768,GATA3,Stim8hr
RNF149,-0.5806744306267814,0.0107201564763392,GATA3,Stim8hr
S100A11,-0.8612242403920903,-0.071103795244345,GATA3,Stim8hr
SLC35D1,0.2302072936339415,-0.0454860475843052,GATA3,Stim8hr
SLFN5,-0.8334627960251253,0.02322416404078296,GATA3,Stim8hr
ST6GAL1,-0.2344337739004397,0.04845243966550136,GATA3,Stim8hr
STAT3,0.1648267990231771,-0.02530084689468158,GATA3,Stim8hr
STK17A,0.2479326756047374,-0.024729267310648437,GATA3,Stim8hr
STK39,-0.4915829978284547,-0.08497478844710152,GATA3,Stim8hr
SUSD1,-0.5133694653480537,,GATA3,Stim8hr
SYF2,-0.1357414760832301,0.05191575100212997,GATA3,Stim8hr
SYNE3,0.3139934046712775,-0.05235534378884812,GATA3,Stim8hr
TIFA,0.9712532067831878,-0.033660161304435554,GATA3,Stim8hr
TNF,0.5039474973621688,0.09714814014175832,GATA3,Stim8hr
VAPA,-0.235078332591268,-0.03666256227470352,GATA3,Stim8hr
WHRN,-2.068277020664059,0.05981388685744293,GATA3,Stim8hr
ZNF792,-0.769353939904392,0.05461209220642904,GATA3,Stim8hr
AAGAB,-0.2520940121919495,0.015219283449438398,GATA3,Stim48hr
AEBP2,0.2296801057321506,0.13519967935879162,GATA3,Stim48hr
AGO2,-0.1979304433709911,0.0018237616827030644,GATA3,Stim48hr
AOAH,-1.083547317094845,0.06713294272219333,GATA3,Stim48hr
AP2A2,0.1892030774735564,0.11022460047036356,GATA3,Stim48hr
AP3M2,-0.2303618503395855,0.06091264578890168,GATA3,Stim48hr
