,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
15839,ENSG00000010256,UQCRC1,Rest,69.0,210,318,528,-8.314429633932807,True,145.53319136107308,False,>10 DE genes,on-target KD,ENSG00000010256,ENSG00000010256_Rest,UQCRC1
15840,ENSG00000035664,DAPK2,Rest,54.0,8,3,11,0.7193889950333605,False,2.572899147023864,False,>10 DE genes,no on-target KD,ENSG00000035664,ENSG00000035664_Rest,DAPK2
15841,ENSG00000053918,KCNQ1,Rest,214.0,6,1,7,-3.479171455404344,False,6.751501526457083,False,2-10 DE genes,no on-target KD,ENSG00000053918,ENSG00000053918_Rest,KCNQ1
15842,ENSG00000072110,ACTN1,Rest,370.0,0,0,0,-4.404831907655077,False,12.09634403197814,False,no effect,no on-target KD,ENSG00000072110,ENSG00000072110_Rest,ACTN1
15843,ENSG00000080824,HSP90AA1,Rest,357.0,0,0,0,-4.089488396961594,False,336.0315621472077,False,no effect,no on-target KD,ENSG00000080824,ENSG00000080824_Rest,HSP90AA1
15844,ENSG00000090863,GLG1,Rest,573.0,0,1,1,-16.603491317104027,True,71.84785556723342,False,1 DE gene,on-target KD,ENSG00000090863,ENSG00000090863_Rest,GLG1
15845,ENSG00000095564,BTAF1,Rest,733.0,610,443,1053,-16.473180061575995,True,43.451488254319,False,>10 DE genes,on-target KD,ENSG00000095564,ENSG00000095564_Rest,BTAF1
15846,ENSG00000101412,E2F1,Rest,179.0,82,116,198,-10.623385978382842,True,113.66260361064174,False,>10 DE genes,on-target KD,ENSG00000101412,ENSG00000101412_Rest,E2F1
15847,ENSG00000102218,RP2,Rest,200.0,0,1,1,-7.168602875663285,True,29.293700887789743,False,1 DE gene,on-target KD,ENSG00000102218,ENSG00000102218_Rest,RP2
15848,ENSG00000104635,SLC39A14,Rest,635.0,0,1,1,-6.676799285085135,True,8.982101350700491,False,1 DE gene,on-target KD,ENSG00000104635,ENSG00000104635_Rest,SLC39A14
15849,ENSG00000107679,PLEKHA1,Rest,791.0,0,2,2,-4.970929919674198,True,3.802038375789736,False,2-10 DE genes,on-target KD,ENSG00000107679,ENSG00000107679_Rest,PLEKHA1
15850,ENSG00000108106,UBE2S,Rest,500.0,3,2,5,-12.11605416918992,True,90.10607052655592,False,2-10 DE genes,on-target KD,ENSG00000108106,ENSG00000108106_Rest,UBE2S
15851,ENSG00000115649,CNPPD1,Rest,405.0,0,2,2,-10.501598961771768,True,84.9339551947055,True,2-10 DE genes,on-target KD,ENSG00000115649,ENSG00000115649_Rest,CNPPD1
15852,ENSG00000116661,FBXO2,Rest,250.0,6,31,37,-1.6577137696742423,True,2.725581124646701,False,>10 DE genes,on-target KD,ENSG00000116661,ENSG00000116661_Rest,FBXO2
15853,ENSG00000117758,STX12,Rest,240.0,0,1,1,-5.571578400113221,True,16.65294169429567,False,1 DE gene,on-target KD,ENSG00000117758,ENSG00000117758_Rest,STX12
15854,ENSG00000118200,CAMSAP2,Rest,1619.0,0,0,0,-2.8803995481486586,False,0.7902169318037425,False,no effect,no on-target KD,ENSG00000118200,ENSG00000118200_Rest,CAMSAP2
15855,ENSG00000120802,TMPO,Rest,399.0,0,1,1,-13.15081575383411,True,152.7585212999514,False,1 DE gene,on-target KD,ENSG00000120802,ENSG00000120802_Rest,TMPO
15856,ENSG00000121858,TNFSF10,Rest,629.0,0,1,1,-14.055762409375214,True,166.8941714940543,False,1 DE gene,on-target KD,ENSG00000121858,ENSG00000121858_Rest,TNFSF10
15857,ENSG00000123610,TNFAIP6,Rest,589.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000123610,ENSG00000123610_Rest,TNFAIP6
15858,ENSG00000124535,WRNIP1,Rest,545.0,1,1,2,-12.73757122615805,True,60.51690419847748,False,2-10 DE genes,on-target KD,ENSG00000124535,ENSG00000124535_Rest,WRNIP1
15859,ENSG00000131759,RARA,Rest,440.0,10,5,15,-9.326671800097726,True,85.68597892259707,False,>10 DE genes,on-target KD,ENSG00000131759,ENSG00000131759_Rest,RARA
15860,ENSG00000132561,MATN2,Rest,960.0,1,6,7,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000132561,ENSG00000132561_Rest,MATN2
15861,ENSG00000135870,RC3H1,Rest,756.0,91,23,114,-16.692269507472815,True,39.907171532647375,False,>10 DE genes,on-target KD,ENSG00000135870,ENSG00000135870_Rest,RC3H1
15862,ENSG00000146576,C7orf26,Rest,154.0,21,9,30,-7.435436228969712,True,56.14911547734925,False,>10 DE genes,on-target KD,ENSG00000146576,ENSG00000146576_Rest,INTS15
15863,ENSG00000151445,VIPAS39,Rest,461.0,0,1,1,-5.782775938078068,True,8.891223673282264,False,1 DE gene,on-target KD,ENSG00000151445,ENSG00000151445_Rest,VIPAS39
15864,ENSG00000151612,ZNF827,Rest,447.0,2,3,5,-4.480874466996298,True,5.016954593011671,False,2-10 DE genes,on-target KD,ENSG00000151612,ENSG00000151612_Rest,ZNF827
15865,ENSG00000152804,HHEX,Rest,850.0,0,0,0,-0.5865365322503497,False,0.1208397463189168,False,no effect,no on-target KD,ENSG00000152804,ENSG00000152804_Rest,HHEX
15866,ENSG00000154803,FLCN,Rest,301.0,6,2,8,-11.726194482666823,True,56.8501078906236,False,2-10 DE genes,on-target KD,ENSG00000154803,ENSG00000154803_Rest,FLCN
15867,ENSG00000155368,DBI,Rest,835.0,1,4,5,-23.23224828697863,True,93.55510604173033,True,2-10 DE genes,on-target KD,ENSG00000155368,ENSG00000155368_Rest,DBI
15868,ENSG00000160208,RRP1B,Rest,784.0,1,1,2,-19.71357407127941,True,67.09117921843894,False,2-10 DE genes,on-target KD,ENSG00000160208,ENSG00000160208_Rest,RRP1B
15869,ENSG00000162402,USP24,Rest,482.0,3,2,5,-13.3122650950066,True,51.63640664220573,False,2-10 DE genes,on-target KD,ENSG00000162402,ENSG00000162402_Rest,USP24
15870,ENSG00000162591,MEGF6,Rest,829.0,0,0,0,-1.892629212683816,False,5.418669104350748,False,no effect,no on-target KD,ENSG00000162591,ENSG00000162591_Rest,MEGF6
15871,ENSG00000164691,TAGAP,Rest,298.0,1,1,2,-10.7884873903412,True,120.48918297859056,False,2-10 DE genes,on-target KD,ENSG00000164691,ENSG00000164691_Rest,TAGAP
15872,ENSG00000167377,ZNF23,Rest,137.0,0,0,0,-2.393352640439068,False,5.746689752799052,False,no effect,no on-target KD,ENSG00000167377,ENSG00000167377_Rest,ZNF23
15873,ENSG00000167700,MFSD3,Rest,163.0,1,0,1,-1.75064110850023,False,2.321131494930715,False,1 DE gene,no on-target KD,ENSG00000167700,ENSG00000167700_Rest,MFSD3
15874,ENSG00000169499,PLEKHA2,Rest,1067.0,0,1,1,-22.464638718093973,True,62.95967584188968,False,1 DE gene,on-target KD,ENSG00000169499,ENSG00000169499_Rest,PLEKHA2
15875,ENSG00000172469,MANEA,Rest,228.0,221,59,280,-6.033402461447811,True,46.0248992172114,False,>10 DE genes,on-target KD,ENSG00000172469,ENSG00000172469_Rest,MANEA
15876,ENSG00000175193,PARL,Rest,632.0,0,2,2,-16.72593269141816,True,49.57254343494687,False,2-10 DE genes,on-target KD,ENSG00000175193,ENSG00000175193_Rest,PARL
15877,ENSG00000175573,C11orf68,Rest,518.0,10,59,69,-10.931276432408346,True,28.988634152081485,True,>10 DE genes,on-target KD,ENSG00000175573,ENSG00000175573_Rest,C11orf68
15878,ENSG00000180828,BHLHE22,Rest,375.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000180828,ENSG00000180828_Rest,BHLHE22
15879,ENSG00000182118,FAM89A,Rest,959.0,2,1,3,-5.726195040907001,True,4.294656018827162,False,2-10 DE genes,on-target KD,ENSG00000182118,ENSG00000182118_Rest,FAM89A
15880,ENSG00000182749,PAQR7,Rest,885.0,10,7,17,-1.32274870436139,True,0.495620649854877,False,>10 DE genes,on-target KD,ENSG00000182749,ENSG00000182749_Rest,PAQR7
15881,ENSG00000183977,PP2D1,Rest,536.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000183977,ENSG00000183977_Rest,PP2D1
15882,ENSG00000197646,PDCD1LG2,Rest,673.0,0,0,0,-4.397098543324365,False,3.5246337624668937,False,no effect,no on-target KD,ENSG00000197646,ENSG00000197646_Rest,PDCD1LG2
15883,ENSG00000198081,ZBTB14,Rest,136.0,11,6,17,-4.938629661369867,True,29.250934787157984,False,>10 DE genes,on-target KD,ENSG00000198081,ENSG00000198081_Rest,ZBTB14
15884,ENSG00000198720,ANKRD13B,Rest,698.0,1,1,2,-8.506645021383715,True,11.89394916789143,False,2-10 DE genes,on-target KD,ENSG00000198720,ENSG00000198720_Rest,ANKRD13B
15885,ENSG00000198841,KTI12,Rest,588.0,443,325,768,-6.777109878128362,True,8.575524505616567,False,>10 DE genes,on-target KD,ENSG00000198841,ENSG00000198841_Rest,KTI12
15886,ENSG00000204469,PRRC2A,Rest,392.0,10,22,32,-12.97044016635518,True,48.474544664220666,False,>10 DE genes,on-target KD,ENSG00000204469,ENSG00000204469_Rest,PRRC2A
15887,ENSG00000267796,LIN37,Rest,455.0,126,17,143,-6.023815166146417,True,8.943564715804177,False,>10 DE genes,on-target KD,ENSG00000267796,ENSG00000267796_Rest,LIN37
15888,ENSG00000075891,PAX2,Stim8hr,910.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000075891,ENSG00000075891_Stim8hr,PAX2
15889,ENSG00000090432,MUL1,Stim8hr,516.0,3,2,5,-8.68553999104028,True,23.33379909411422,False,2-10 DE genes,on-target KD,ENSG00000090432,ENSG00000090432_Stim8hr,MUL1
15890,ENSG00000101473,ACOT8,Stim8hr,929.0,0,4,4,-11.674919952869582,True,15.234750148031546,True,2-10 DE genes,on-target KD,ENSG00000101473,ENSG00000101473_Stim8hr,ACOT8
15891,ENSG00000105443,CYTH2,Stim8hr,620.0,1,1,2,-11.863316769312588,True,25.17812766798195,False,2-10 DE genes,on-target KD,ENSG00000105443,ENSG00000105443_Stim8hr,CYTH2
15892,ENSG00000106443,PHF14,Stim8hr,530.0,1,3,4,-21.449858740861508,True,99.27366586581076,False,2-10 DE genes,on-target KD,ENSG00000106443,ENSG00000106443_Stim8hr,PHF14
15893,ENSG00000108799,EZH1,Stim8hr,272.0,0,1,1,-6.345602795245063,True,19.413773660245223,False,1 DE gene,on-target KD,ENSG00000108799,ENSG00000108799_Stim8hr,EZH1
15894,ENSG00000109685,NSD2,Stim8hr,125.0,116,66,182,-3.2794442564175603,True,42.754198481626126,False,>10 DE genes,on-target KD,ENSG00000109685,ENSG00000109685_Stim8hr,NSD2
15895,ENSG00000111275,ALDH2,Stim8hr,576.0,2,0,2,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000111275,ENSG00000111275_Stim8hr,ALDH2
15896,ENSG00000115602,IL1RL1,Stim8hr,423.0,2,0,2,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000115602,ENSG00000115602_Stim8hr,IL1RL1
15897,ENSG00000116771,AGMAT,Stim8hr,389.0,0,1,1,-18.11152576522549,True,103.33720700246832,False,1 DE gene,on-target KD,ENSG00000116771,ENSG00000116771_Stim8hr,AGMAT
15898,ENSG00000117419,ERI3,Stim8hr,746.0,0,1,1,-21.74736274877985,True,72.60185784053392,False,1 DE gene,on-target KD,ENSG00000117419,ENSG00000117419_Stim8hr,ERI3
15899,ENSG00000119640,ACYP1,Stim8hr,269.0,2,2,4,-6.329976811728904,True,16.5627957819175,False,2-10 DE genes,on-target KD,ENSG00000119640,ENSG00000119640_Stim8hr,ACYP1
15900,ENSG00000129235,TXNDC17,Stim8hr,538.0,0,4,4,-34.86955098558234,True,266.1010827266863,True,2-10 DE genes,on-target KD,ENSG00000129235,ENSG00000129235_Stim8hr,TXNDC17
15901,ENSG00000132329,RAMP1,Stim8hr,1293.0,0,1,1,-14.557066740656923,True,64.65387502425745,False,1 DE gene,on-target KD,ENSG00000132329,ENSG00000132329_Stim8hr,RAMP1
