,target,correlation_signif,correlation_signif_pval,correlation_all,correlation_all_pval,n_signif_union,frac_sign_agreement_signif_union,n_signif_1,n_signif_2,guide_id_1,guide_id_2,culture_condition,n_signif_ontarget
18555,PTGDR2,,,0.014813396038562892,0.11189857459020984,0,,0,0,PTGDR2-1,PTGDR2-2,Stim48hr,0
18556,PTF1A,0.3662791015332153,0.4190433684571638,0.06218253508279447,2.4010205047337147e-11,7,0.2857142857142857,0,7,PTF1A-1,PTF1A-2,Stim48hr,0
18557,RBM45,1.0,1.0,0.09303421874736657,1.4454878403218704e-23,2,1.0,2,1,RBM45-1,RBM45-2,Stim48hr,2
18558,PSRC1,0.9637365383950813,0.0019487140446045206,-0.019448161330508362,0.036871381741588646,6,0.3333333333333333,1,6,PSRC1-1,PSRC1-2,Stim48hr,2
18559,PSMD5,1.0,1.0,0.05652001460610581,1.2788488053246723e-09,2,1.0,1,2,PSMD5-1,PSMD5-2,Stim48hr,2
18560,PSMD10,-1.0,1.0,0.04048296520453906,1.3862958261948559e-05,2,1.0,2,2,PSMD10-1,PSMD10-2,Stim48hr,2
18561,PSME1,0.5892994549692759,0.598807653917955,0.09970661818529143,7.661600891463707e-27,3,0.6666666666666666,1,3,PSME1-1,PSME1-2,Stim48hr,2
18562,PSME2,1.0,1.0,0.023439157921914113,0.011882706580710941,2,1.0,0,2,PSME2-1,PSME2-2,Stim48hr,2
18563,PSME4,,,0.06104543294415575,5.49308492632285e-11,1,1.0,1,0,PSME4-1,PSME4-2,Stim48hr,1
18564,PSMF1,,,0.1859643439737329,3.891532559286397e-90,1,1.0,1,1,PSMF1-1,PSMF1-2,Stim48hr,2
18565,PSPC1,,,0.010996166577591091,0.237985267607905,1,1.0,1,1,PSPC1-1,PSPC1-2,Stim48hr,2
18566,PSTPIP1,,,0.04514743989417713,1.2518038465884226e-06,1,1.0,1,1,PSTPIP1-1,PSTPIP1-2,Stim48hr,2
18567,PTER,,,0.033071608142313046,0.00038538469379301057,1,1.0,1,1,PTER-1,PTER-2,Stim48hr,2
18568,PTAFR,,,0.11635929433695671,5.172762127257663e-36,0,,0,0,PTAFR-1,PTAFR-2,Stim48hr,1
18569,PTAR1,1.0,1.0,0.027542321549305623,0.0031152022937830735,2,1.0,1,2,PTAR1-1,PTAR1-2,Stim48hr,2
18570,PTBP2,0.23326345071109797,0.6146847096733719,0.08758804498208311,4.632714082183905e-21,7,0.42857142857142855,2,6,PTBP2-1,PTBP2-2,Stim48hr,2
18571,PTCH1,,,0.049674112021695804,9.615912275922198e-08,0,,0,0,PTCH1-1,PTCH1-2,Stim48hr,2
18572,PTCRA,,,0.06443191380287541,4.472013746288907e-12,1,0.0,1,0,PTCRA-1,PTCRA-2,Stim48hr,0
18573,PTDSS1,0.09996932289945551,0.29429925887469094,0.03647329734227161,9.03057016146693e-05,112,0.4107142857142857,2,111,PTDSS1-1,PTDSS1-2,Stim48hr,2
18574,PTEN,0.7250259779377008,4.134835493749954e-05,0.2720958204210707,1.2149627497812497e-194,25,1.0,6,23,PTEN-1,PTEN-2,Stim48hr,2
18575,PTPN6,0.8734714390836827,0.32372684522345047,0.07933135127784006,1.508277674999038e-17,3,0.3333333333333333,3,1,PTPN6-1,PTPN6-2,Stim48hr,2
18576,PTPN7,0.7775623846327716,0.2224376153672285,0.06087326973624974,6.218359847864569e-11,4,0.75,2,3,PTPN7-1,PTPN7-2,Stim48hr,2
18577,PTPN9,0.5998692023137927,0.5904385497128746,0.10711674682381916,9.54330425261217e-31,3,0.6666666666666666,1,3,PTPN9-1,PTPN9-2,Stim48hr,2
18578,PWWP2B,-1.0,1.0,0.0007479469438884589,0.9360285458475212,2,1.0,0,2,PWWP2B-1,PWWP2B-2,Stim48hr,2
18579,PUS1,-0.2592928937044985,0.535177534148966,0.03924462149518878,2.520290758830214e-05,8,0.75,6,3,PUS1-1,PUS1-2,Stim48hr,2
18580,PUS3,1.0,1.0,0.08261527947208622,6.646847681394061e-19,2,0.5,2,1,PUS3-1,PUS3-2,Stim48hr,2
18581,PUS7L,1.0,1.0,0.04110758965414851,1.0188536846989653e-05,2,1.0,2,2,PUS7L-1,PUS7L-2,Stim48hr,2
18582,PUSL1,1.0,1.0,0.1442862096113829,1.2605972603362796e-54,2,1.0,2,2,PUSL1-1,PUSL1-2,Stim48hr,2
18583,PVR,0.6731622325324661,0.3268377674675338,-0.018399952352865644,0.0483054370205961,4,0.5,0,4,PVR-1,PVR-2,Stim48hr,2
18584,PVRIG,,,-0.002132309380976317,0.8190095872124638,0,,0,0,PVRIG-1,PVRIG-2,Stim48hr,0
18585,PWWP2A,0.9340993780633251,0.2324097003373689,0.08141531956408123,2.1103561314988414e-18,3,1.0,0,3,PWWP2A-1,PWWP2A-2,Stim48hr,2
18586,PXMP4,-0.1440487438889127,0.11806129720529492,0.043915211849366254,2.4191388842487387e-06,119,0.40336134453781514,1,118,PXMP4-1,PXMP4-2,Stim48hr,2
18587,PTPN11,0.5581410553575386,0.44185894464246145,0.11813439418482319,4.485555528873891e-37,4,0.75,2,3,PTPN11-1,PTPN11-2,Stim48hr,2
18588,PXN,1.0,1.0,0.09449206293818892,2.9085892930574968e-24,2,0.5,2,1,PXN-1,PXN-2,Stim48hr,2
18589,PXYLP1,,,0.06743388714259095,4.33725588684406e-13,1,1.0,1,0,PXYLP1-1,PXYLP1-2,Stim48hr,2
18590,PYCARD,0.5887435292306312,0.21891953611615309,0.00796278854304627,0.3928264834349691,6,0.5,6,1,PYCARD-1,PYCARD-2,Stim48hr,2
18591,PYCR1,0.1505501565024582,0.6404760500472647,-0.05798719547622511,4.728380876817222e-10,12,0.3333333333333333,1,11,PYCR1-1,PYCR1-2,Stim48hr,2
18592,PYCR2,,,0.03374692619695901,0.0002918547677200047,1,1.0,1,1,PYCR2-1,PYCR2-2,Stim48hr,2
18593,PYCR3,,,0.017781004612731306,0.05636075374222027,0,,0,0,PYCR3-1,PYCR3-2,Stim48hr,2
18594,PYGL,-0.22846053406990868,0.03330799545885924,-0.1311244695802784,2.409931890377139e-45,87,0.28735632183908044,86,1,PYGL-1,PYGL-2,Stim48hr,2
18595,PURB,0.9095416603330084,0.27286567739272144,0.14346606998069522,5.077576240226474e-54,3,0.6666666666666666,3,0,PURB-1,PURB-2,Stim48hr,2
18596,PURA,-0.26291163579911003,0.3437832741118142,-0.0435913758930391,2.8683569262007457e-06,15,0.4,15,0,PURA-1,PURA-2,Stim48hr,2
18597,PUM3,,,0.03857422239260777,3.4586677226885584e-05,1,1.0,1,0,PUM3-1,PUM3-2,Stim48hr,1
18598,PUM2,,,0.09196648565900906,4.6041981411514484e-23,1,1.0,1,1,PUM2-1,PUM2-2,Stim48hr,2
18599,PTPN12,0.45650474062005086,0.043046024738695704,-0.054477704737812625,4.905006870713186e-09,20,0.6,1,19,PTPN12-1,PTPN12-2,Stim48hr,2
18600,PTPN13,,,0.09394700898532743,5.312397852440434e-24,0,,0,0,PTPN13-1,PTPN13-2,Stim48hr,2
18601,PTPN18,,,0.06246684039862545,1.9477327601764168e-11,1,1.0,1,1,PTPN18-1,PTPN18-2,Stim48hr,2
