,library_id,lane_id,mean_total_counts,mean_n_genes,mean_pct_counts_mt,mean_top_guide_UMI_counts,n_cells,n_low_quality_cells,NTC single sgRNA,multi sgRNA,no sgRNA (>= 3 UMIs),targeting single sgRNA,n_unique_guides,n_unique_perturbed_genes,mean_cells_x_guide,mean_cells_x_perturbed_gene,experiment,mean_guide_UMI_counts
191,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L48,12432.255,4375.332213413328,0.8792456,278.5502108161183,116675,642,3456,25847,12542,74188,19655,11224,3.950343424065123,6.91767640769779,CD4iR2_Psomagen,283.06592
192,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L01,9698.866,3755.576292239301,0.42311552,68.06824401086688,137668,165,3385,23412,36381,74325,16009,10137,4.854144543694172,7.665976127059288,CD4iR1_Psomagen,59.405224
193,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L02,9965.823,3809.356877597336,0.42626908,70.99529388304502,135716,184,3372,22973,35340,73847,16246,10256,4.753108457466453,7.529153666146646,CD4iR1_Psomagen,62.105022
194,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L03,10194.8125,3857.370641493492,0.4277864,70.54503378146481,137289,178,3396,23241,35241,75233,16308,10289,4.8214986509688496,7.642044902322869,CD4iR1_Psomagen,62.13571
195,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L04,9898.196,3800.5142131540215,0.42539898,69.32975863422293,138604,170,3426,22914,36616,75478,16253,10300,4.854734510551898,7.660582524271844,CD4iR1_Psomagen,60.363308
196,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L05,10604.789,3935.811114673188,0.43148223,71.58555121505758,134129,169,3279,21648,35505,73528,16001,10174,4.800137491406787,7.549341458620011,CD4iR1_Psomagen,62.0405
197,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L06,10162.518,3821.342789403,0.42817712,70.83458777686629,133283,212,3182,21842,35668,72379,15823,10106,4.775390254692536,7.476845438353453,CD4iR1_Psomagen,61.293186
198,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L07,10014.689,3817.446532842695,0.4303122,70.47414292274824,136149,169,3391,23389,35905,73295,15935,10145,4.812425478506432,7.558994578610153,CD4iR1_Psomagen,61.50658
199,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L08,8850.115,3579.082783904227,0.42785636,70.54501666191548,136657,148,3411,23746,34876,74476,16279,10274,4.784507647889919,7.580981117383687,CD4iR1_Psomagen,62.349503
200,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L09,10678.488,3956.180560970407,0.43024355,73.58803248467939,135943,190,3425,23353,35507,73468,16109,10241,4.773294431684152,7.50834879406308,CD4iR1_Psomagen,64.35127
201,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L10,10270.789,3879.492226233093,0.42727232,72.56134310826684,133526,146,3320,23149,34710,72201,16023,10183,4.713287149722274,7.416380241579103,CD4iR1_Psomagen,63.75823
202,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L11,11548.492,4115.527544287265,0.4326275,74.04783561923215,131697,205,3307,22672,33551,71962,16149,10225,4.6609077961483685,7.361271393643031,CD4iR1_Psomagen,65.42129
203,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L13,10894.224,4000.903811449063,0.4307483,75.91709196958651,129111,185,3224,22114,33028,70560,16143,10246,4.570649817258254,7.201249268007027,CD4iR1_Psomagen,66.94255
204,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L14,10853.577,3987.936915217712,0.43283793,74.45393028808559,129001,192,3238,22474,33003,70094,15944,10196,4.599347717009533,7.192232247940368,CD4iR1_Psomagen,65.599846
205,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L15,9696.398,3772.898567490974,0.42487875,74.59996040965588,128795,149,3207,22102,32760,70577,16122,10234,4.576603399082,7.20969317959742,CD4iR1_Psomagen,65.73927
206,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L16,8806.989,3587.199299081907,0.42712334,74.20824844563141,127547,117,3188,21958,32775,69509,15957,10183,4.555806229241085,7.139055288225474,CD4iR1_Psomagen,65.36051
207,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L17,10319.927,3880.231584262127,0.4062579,73.2654103343465,132699,179,3401,22670,33938,72511,16306,10316,4.655464246289709,7.358666149670415,CD4iR1_Psomagen,64.61233
208,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L18,10463.284,3911.112976142856,0.41303837,74.29466992466719,132497,169,3324,22748,33796,72460,16120,10221,4.701240694789082,7.414538694843949,CD4iR1_Psomagen,65.51565
209,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L19,10469.196,3913.700346669444,0.41253287,73.94499596730029,134422,186,3414,23584,33902,73336,16285,10261,4.712926005526558,7.479777799434752,CD4iR1_Psomagen,65.45127
210,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L20,10028.7705,3830.235302804318,0.41191393,74.21957708588836,135434,185,3434,23026,34249,74540,16377,10319,4.761189473041461,7.556352359724779,CD4iR1_Psomagen,65.5198
211,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L21,10550.802,3926.6954874268,0.40943202,74.63353931685465,133538,179,3233,23378,33463,73285,16426,10319,4.658346523803726,7.415253416028685,CD4iR1_Psomagen,66.305275
212,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L22,9963.341,3815.060460751862,0.40836596,74.07554148946691,135344,161,3404,23484,34169,74126,16386,10299,4.731478091053338,7.527915331585591,CD4iR1_Psomagen,65.51221
213,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L12,10390.61,3901.283301788405,0.42427522,74.39747315355852,129445,142,3236,22310,33379,70378,16097,10191,4.573150276449028,7.223432440388578,CD4iR1_Psomagen,65.36847
214,CD4i_R1_D1_Rest_CD4i_R1_Ultima,CD4i_R1L23,10072.937,3834.935795061837,0.41115308,73.33101145416353,136002,191,3346,23535,35004,73926,16169,10269,4.779021584513576,7.52478332846431,CD4iR1_Psomagen,64.482864
215,CD4i_R1_D2_Rest_CD4i_R1_Ultima,CD4i_R1L01,9824.767,3865.718852758495,0.58471215,67.56132905591201,131376,152,3753,21406,22211,83854,13847,9505,6.326785585325341,9.216938453445556,CD4iR1_Psomagen,66.0384
216,CD4i_R1_D2_Rest_CD4i_R1_Ultima,CD4i_R1L02,10083.361,3923.130252976076,0.5823423,69.66418458600364,129617,128,3682,21160,20666,83981,13978,9554,6.271498068393189,9.175528574419092,CD4iR1_Psomagen,68.650276
