,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
135,ENSG00000164647,25.508461673368632,2.4461699341187724,0.32996618416733514,7.413395831126292,1.2310574520235254e-13,9.597575927126709e-12,MEN1
136,ENSG00000134321,131.85778582962342,2.7053903785186004,0.36495642641587434,7.412913385544169,1.2355458579368155e-13,9.597575927126709e-12,MEN1
137,ENSG00000138642,92.86803084588729,1.5324127608334932,0.20686641054319896,7.407740854639552,1.284690265121938e-13,9.907010001034539e-12,MEN1
138,ENSG00000136689,102.48216835577216,2.0515481440709538,0.27704924953655957,7.404994409848529,1.3115599394459078e-13,1.0041453867326152e-11,MEN1
139,ENSG00000119655,502.9020878049548,0.9440908261703764,0.12753450231857258,7.4026307313459485,1.335126438855481e-13,1.0148868258785735e-11,MEN1
140,ENSG00000254788,292.02177507382544,0.919954814155136,0.12464056318664064,7.380862141785793,1.5726778485757204e-13,1.1869813946484267e-11,MEN1
141,ENSG00000010278,644.589408185586,1.7238105041741645,0.23362207135113758,7.378628629583763,1.5992823469858925e-13,1.1985607561002725e-11,MEN1
142,ENSG00000205336,77.60595270076516,1.8034479311912597,0.2463950218937779,7.319335907560401,2.492010949051331e-13,1.8431428108924104e-11,MEN1
143,ENSG00000168386,89.8898018796951,2.159597110405368,0.29505803441187717,7.319228282361379,2.4940101932767066e-13,1.8431428108924104e-11,MEN1
144,ENSG00000100292,50.18459983104399,2.3012418627336237,0.31503479442534815,7.304722854284386,2.7783881941151526e-13,2.0391453215016177e-11,MEN1
145,ENSG00000214706,913.1611217962563,-0.6235719413706925,0.08567012421624286,-7.278756125025727,3.369120959091336e-13,2.4557661127842464e-11,MEN1
146,ENSG00000165949,432.67355333017576,2.9126356799082385,0.40032204795405146,7.27573136377077,3.445486271744191e-13,2.4943445512858285e-11,MEN1
147,ENSG00000154511,252.77275334526928,-0.9144839614201231,0.1262845687084389,-7.241454524277225,4.43898011251464e-13,3.1918666457689725e-11,MEN1
148,ENSG00000108771,99.55911901225556,1.3041961516963296,0.18039039329989082,7.2298536958570905,4.835146430629577e-13,3.435496651758541e-11,MEN1
149,ENSG00000085415,654.1733829572897,-0.5266468829559853,0.07284540797276856,-7.229651087311627,4.842365135912245e-13,3.435496651758541e-11,MEN1
150,ENSG00000134758,650.9828782420618,-0.5353412220154167,0.07410716008819869,-7.223879870423856,5.05248943590503e-13,3.560833945490154e-11,MEN1
