target,target_corrected,culture_condition,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min,distal_offtarget
TPD52,TPD52,Rest,TPD52-1,AP1S1,11,4,-1.2903409009418485,2.3493445647348927e-10,0.0369,7.498273253914215e-05,0.1165,0.3712951259951226,61,0.3712951259951226,0.0
CSNK2A2,CSNK2A2,Stim8hr,CSNK2A2-1,SLC30A5,11,4,-1.2895974335348173,0.0002461992603695,-0.0457,9.087450642639632e-07,-0.0444,0.7477772452549122,55,,0.0
DIS3L2,DIS3L2,Rest,DIS3L2-1,IRS2,11,7,-1.2863396185160736,0.0272256607550381,0.1254,1.420211594212869e-41,0.1402,0.0022487538543521,473,0.0022487538543521,0.0
FOXO4,FOXO4,Stim48hr,FOXO4-2,ENSA,11,8,-1.2862174393153036,1.0608995878196848e-10,0.0696,7.367628945449046e-14,-0.1067,0.7165861236069391,14,,0.0
MRGBP,MRGBP,Stim8hr,MRGBP-2,MOSPD1,11,7,-1.2862103759947736,0.0736681258267235,-0.0388,3.131720379477081e-05,0.1379,0.610608251008732,16,0.610608251008732,0.0
TEAD2,TEAD2,Stim48hr,TEAD2-1,CCDC186,11,7,-1.286003186356392,0.0010764094391991,-0.0573,7.599606504588311e-10,0.0143,0.9686935489565576,10,0.9686935489565576,0.0
PPARA,PPARA,Stim8hr,PPARA-1,HAGH,11,7,-1.2832566657072209,2.6585718343305584e-06,0.0814,2.1840945448984084e-18,0.1989,0.4953566647244385,14,0.4953566647244385,0.0
COL4A3BP,CERT1,Stim48hr,COL4A3BP-2,UBE2Q2,11,9,-1.2830202180630077,0.0001180844699443,-0.0259,0.0054706841582459,-0.2519,0.5132061462649997,9,,0.0
HCN2,HCN2,Rest,HCN2-2,HMCES,11,5,-1.2828403953819376,0.0014694381444359,-0.0465,5.916128373206947e-07,0.6496,0.0162545332682255,13,0.0162545332682255,0.0
SGCB,SGCB,Stim48hr,SGCB-2,CHIC2,11,6,-1.282290403431797,0.0114022293626725,-0.0016,0.8621069928163302,0.0367,0.6694392494255835,138,0.6694392494255835,0.0
WDR89,WDR89,Stim8hr,WDR89-2,GORASP2,11,7,-1.2817247061539292,3.199119077369412e-21,-0.0182,0.0506897486557885,0.1107,0.4539393068442983,48,0.4539393068442983,0.0
RBMS2,RBMS2,Rest,RBMS2-2,ZNF75D,11,5,-1.2807590150319237,2.712646623782368e-09,-0.0256,0.0060930862690838,,,2,,0.0
PYGM,PYGM,Stim48hr,PYGM-1,RAB33A,11,6,-1.2806550208941587,6.755995414772795e-14,-0.0186,0.0460284964425088,0.1205,0.5840540122401418,23,0.5840540122401418,0.0
EIF4E,EIF4E,Stim8hr,EIF4E-2,SLAIN1,11,7,-1.2800506085478187,0.0001268491507508,-0.0166,0.0744121372849431,-0.0659,0.6783853390330709,42,,0.0
CLDND1,CLDND1,Rest,CLDND1-2,TET2,11,6,-1.2792373566353108,1.7698988275771974e-05,0.1054,8.361627973178469e-30,0.0177,0.8359276329156068,139,0.8359276329156068,0.0
MPLKIP,MPLKIP,Stim8hr,MPLKIP-2,TBC1D10C,11,5,-1.278915737369453,3.657982088635174e-12,0.062,2.824566522112316e-11,,,0,,0.0
PPP1R1A,PPP1R1A,Stim8hr,PPP1R1A-1,MDM4,11,5,-1.2787967777316125,2.941774180245137e-30,0.0856,3.3811167421990114e-20,0.1679,0.2295770049231839,53,0.2295770049231839,0.0
CHMP4A,CHMP4A,Stim8hr,CHMP4A-1,SLC35B2,11,8,-1.2787181242766552,3.859205276222721e-12,-0.0909,1.4448048817889872e-22,-0.2437,0.2512418271396734,24,,0.0
MARF1,MARF1,Stim48hr,MARF1-1,PLRG1,11,8,-1.277833926505453,3.6881724015466673e-26,,,,,0,,0.0
FOXO4,FOXO4,Stim48hr,FOXO4-2,WSB1,11,8,-1.2769509607569471,5.271296059432082e-07,0.0326,0.0004627423642234,0.3019,0.2942061016143018,14,0.2942061016143018,0.0
CD2BP2,CD2BP2,Stim8hr,CD2BP2-2,RGS10,11,5,-1.2766198765887462,2.34800236303068e-05,0.0112,0.230304128478542,0.095,0.3957614259616676,82,0.3957614259616676,0.0
MORC3,MORC3,Rest,MORC3-2,ORAI2,11,6,-1.2764294295578131,0.0013868034905185,-0.123,4.535529991095931e-40,0.4677,0.6901964283440091,3,0.6901964283440091,0.0
