,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
88798,ENSG00000103222,333.6852079942469,-0.07365439535444249,0.05604577349946937,-1.3141828679577388,0.18878467238403351,0.25799523587941753,ELOB
88799,ENSG00000104731,134.16303376167036,-0.10197914200295645,0.07762240842236828,-1.31378482162078,0.18891862689916294,0.25814758238392466,ELOB
88800,ENSG00000198056,144.72326108571735,0.09428806944204557,0.07178380876981673,1.3135005101831725,0.18901434911113746,0.2582476563813245,ELOB
88801,ENSG00000178691,940.9915923855393,0.06105064912900033,0.046485575839047784,1.3133245749258402,0.18907360104782067,0.25829788367244205,ELOB
88802,ENSG00000183828,21.940819572164624,0.3485103086228631,0.26549132442573725,1.3126994238952907,0.18928425182403463,0.2585038097595184,ELOB
88803,ENSG00000079313,109.32451672710279,-0.3492138577648088,0.266028787461601,-1.312691987573769,0.18928675860625532,0.2585038097595184,ELOB
88804,ENSG00000130165,247.3730220589918,0.13557521351326624,0.10328148453549146,1.3126768473847545,0.18929186243600782,0.2585038097595184,ELOB
88805,ENSG00000099849,39.348818296961795,-0.22145997597052303,0.16895348464115406,-1.3107748351026276,0.18993384690721715,0.259349688708761,ELOB
88806,ENSG00000099330,21.977207253612914,0.23579507595253607,0.17992326780771747,1.3105313105169274,0.19001615922912496,0.2594312397463742,ELOB
88807,ENSG00000144791,110.56581652927059,0.11497315390455577,0.08778361606516194,1.309733627505285,0.1902859634028049,0.2597687257436365,ELOB
88808,ENSG00000171448,41.473435760390146,0.17031812967362434,0.1302178562457406,1.3079475778821648,0.19089109044679686,0.2605638428549396,ELOB
88809,ENSG00000169490,110.98636163519657,0.0980030005189367,0.07494734887297905,1.3076246457367349,0.19100065332541505,0.260682412767961,ELOB
88810,ENSG00000126215,35.897628888256556,0.20777844942711005,0.15901394437452315,1.3066681053941571,0.19132545534171075,0.2610946832936725,ELOB
88811,ENSG00000146776,42.445010313203774,-0.19724394836458675,0.1510412534545911,-1.305894541082354,0.19158842325649006,0.26141747587139297,ELOB
88812,ENSG00000177873,17.163573603023863,-0.25246522289100715,0.19333573057390335,-1.30583840939066,0.19160751518375152,0.26141747587139297,ELOB
88813,ENSG00000137269,21.02496139043416,0.24668402708280318,0.18891847086540586,1.3057697638181296,0.19163086532721085,0.26141827868903866,ELOB
88814,ENSG00000159445,175.84149038010847,-0.10893136708126182,0.08342883296187995,-1.3056801013989303,0.19166136761127217,0.2614288369377032,ELOB
88815,ENSG00000160932,673.9878327355405,-0.21438360334478418,0.16420253385650488,-1.3056047206441532,0.191687014175016,0.26143277019357064,ELOB
88816,ENSG00000090863,417.75494262526917,-0.10952857679954307,0.08390714664528573,-1.3053545636889665,0.1917721423994655,0.26151781708119937,ELOB
88817,ENSG00000198162,395.2471797830462,-0.154276382236042,0.11820389603594145,-1.305171719459503,0.19183438174092826,0.2615716341320861,ELOB
88818,ENSG00000120802,1383.1215011350946,0.08397862102426054,0.06434961512367895,1.3050368811508033,0.19188028960246994,0.26160317261210436,ELOB
88819,ENSG00000006756,20.70715542774076,0.2625453726211585,0.2012342040281452,1.3046756831877255,0.19200330504233132,0.2617398170220979,ELOB
88820,ENSG00000205302,186.59726280742953,-0.10403655555037142,0.07974886055866022,-1.3045522509233358,0.1920453564299619,0.2617660715165099,ELOB
88821,ENSG00000198270,26.189033070370538,0.1996495031893111,0.15309791447916787,1.3040641596491345,0.19221170761609563,0.26196172564030595,ELOB
88822,ENSG00000139112,51.218255412193294,0.19050541127694215,0.14610089413069258,1.3039304955007882,0.19225728148176224,0.2619927477240198,ELOB
88823,ENSG00000172954,137.12459765225537,0.11082120684983608,0.08504619426655469,1.3030707347408923,0.19255061372614213,0.2623613475672965,ELOB
88824,ENSG00000178125,24.565607228516036,-0.38812437197329736,0.29792892583493463,-1.30274148737184,0.1926630330488902,0.26248338488333384,ELOB
88825,ENSG00000169733,75.1158388453315,-0.21619930742693574,0.16597400744858312,-1.3026094311418723,0.19270813632064232,0.26251369299520544,ELOB
88826,ENSG00000198242,8252.148313111602,-0.12667161064245838,0.09728572290000007,-1.3020575565097465,0.19289671084744164,0.26270971078945865,ELOB
88827,ENSG00000165949,189.24811600811955,0.516301143892145,0.39652807999248,1.3020544318120835,0.19289777893665694,0.26270971078945865,ELOB
88828,ENSG00000265303,76.40062384873846,-0.1133459137464122,0.08705880586452833,-1.3019465707212787,0.19293465085342365,0.2627287722375588,ELOB
88829,ENSG00000092208,175.30092293966058,-0.10887573982969906,0.0836884068209256,-1.3009656171692778,0.19327022394917714,0.26315453729179605,ELOB
88830,ENSG00000258588,14.796186230957893,-0.30632432550219746,0.23550094466161,-1.3007350180372024,0.19334917150001585,0.2632296357590498,ELOB
88831,ENSG00000132581,190.63649024987362,0.07942768356816991,0.061066715460102235,1.3006706348905201,0.19337121784058364,0.2632296357590498,ELOB
88832,ENSG00000160336,82.33462909425758,-0.1484147210631546,0.11413923131400663,-1.3002954317683566,0.19349973316197555,0.26337336280697904,ELOB
88833,ENSG00000114745,60.20595851795913,-0.14115626601031264,0.10868006736670027,-1.2988238729557793,0.19400437987138996,0.2640289492621061,ELOB
88834,ENSG00000188389,81.01392271653101,-0.28722046404610724,0.22133704129822235,-1.2976610799595705,0.19440382326720074,0.2645311816716899,ELOB
88835,ENSG00000288920,523.8177433018772,0.11893417241830256,0.09165593995777542,1.2976155443181732,0.1944194779704601,0.2645311816716899,ELOB
88836,ENSG00000104635,782.4406882428419,0.11740759054304167,0.09049344547927432,1.2974154086102456,0.19448829361555642,0.2645934674454709,ELOB
88837,ENSG00000095906,256.905986755128,-0.15641058497165974,0.12060260778476395,-1.2969088135374425,0.19466256362850276,0.26479918788029777,ELOB
88838,ENSG00000117620,172.54590984624082,-0.09475277512413498,0.07307524032724597,-1.2966467807675015,0.1947527485182644,0.26489049227051953,ELOB
