index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,neighboring_gene_KD,n_total_genes_category,distal_offtarget_flag,low_target_gex,n_guides,single_guide_estimate,n_downstream,guide_correlation_signif,guide_correlation_signif_pval,guide_correlation_all,guide_correlation_all_pval,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_all_min,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000179134_Stim48hr,SAMD4B,Stim48hr,ENSG00000179134,463,838.0,3,6,9,-9.627484372310011,True,41.93842817110707,False,2-10 DE genes,False,False,2.0,False,8,0.0689344831193573,0.8148617231649199,-0.0200892766179463,0.0310833674319456,2.0,,,,
ENSG00000179134_Stim8hr,SAMD4B,Stim8hr,ENSG00000179134,343,736.0,0,6,6,-9.506211263097688,True,46.14507009419815,False,2-10 DE genes,False,False,2.0,False,5,-0.389276198197388,0.3004126396718896,0.135978171080401,1.1628375280786239e-48,2.0,,,,
ENSG00000156671_Rest,SAMD8,Rest,ENSG00000156671,143,1984.0,1,1,2,-13.72217594613794,True,11.53127774769673,False,2-10 DE genes,False,False,2.0,False,1,,,0.03258934537254,0.0004685828458771,2.0,,,,
ENSG00000156671_Stim48hr,SAMD8,Stim48hr,ENSG00000156671,446,1891.0,6,1,7,-19.82088767066084,True,31.905645900807137,False,2-10 DE genes,False,False,2.0,False,6,0.7045654472492073,0.1839822199312893,0.0609391519228247,5.930381233428992e-11,2.0,,,,
ENSG00000156671_Stim8hr,SAMD8,Stim8hr,ENSG00000156671,505,1732.0,2,1,3,-16.56777559297858,True,19.947629951687816,False,2-10 DE genes,False,False,2.0,False,2,,,0.0382302502416754,4.060679166408352e-05,2.0,,,,
ENSG00000205413_Rest,SAMD9,Rest,ENSG00000205413,69,1224.0,2,1,3,-13.07233694237035,True,45.21815390587608,False,2-10 DE genes,False,False,2.0,False,2,1.0,1.0,0.1017187983291818,7.109958772006107e-28,2.0,,,,
ENSG00000205413_Stim48hr,SAMD9,Stim48hr,ENSG00000205413,20,1274.0,3,1,4,-10.986620457783776,True,27.71047390826984,False,2-10 DE genes,False,False,2.0,False,3,,,0.086754748680052,1.0863606005142964e-20,2.0,,,,
ENSG00000205413_Stim8hr,SAMD9,Stim8hr,ENSG00000205413,23,1246.0,2,1,3,-6.34475582248376,True,8.728790725078442,False,2-10 DE genes,False,False,2.0,False,2,1.0,1.0,0.0737472829678635,2.288174994867046e-15,1.0,,,,
ENSG00000177409_Rest,SAMD9L,Rest,ENSG00000177409,19,1344.0,2,1,3,-22.35573694697016,True,124.55829815647192,False,2-10 DE genes,False,False,2.0,False,2,1.0,1.0,0.0901218276162429,3.3017971302192232e-22,2.0,,,,
ENSG00000177409_Stim48hr,SAMD9L,Stim48hr,ENSG00000177409,321,1383.0,1,3,4,-10.94091463270326,True,33.942499194032095,False,2-10 DE genes,False,False,2.0,False,3,0.9781026894426332,0.1334707806445092,0.0930124107210793,1.4802969860585058e-23,2.0,,,,
ENSG00000177409_Stim8hr,SAMD9L,Stim8hr,ENSG00000177409,669,1305.0,0,2,2,-6.897083228354948,True,23.290591413288247,False,2-10 DE genes,False,False,2.0,False,1,,,0.0854864390371938,3.913760102448351e-20,2.0,,,,
ENSG00000101347_Rest,SAMHD1,Rest,ENSG00000101347,617,1579.0,2,2,4,-26.23540355938428,True,852.8322113412609,False,2-10 DE genes,False,False,2.0,False,3,,,0.1263176793357092,3.50523098131851e-42,2.0,,,,
ENSG00000101347_Stim48hr,SAMHD1,Stim48hr,ENSG00000101347,232,1591.0,0,1,1,-25.18243112220773,True,146.11099249201982,False,1 DE gene,False,False,2.0,False,0,1.0,1.0,0.0573022421079951,7.546815745761555e-10,2.0,,,,
ENSG00000101347_Stim8hr,SAMHD1,Stim8hr,ENSG00000101347,602,1297.0,0,1,1,-17.444671882784625,True,135.63621630632144,False,1 DE gene,False,False,2.0,False,0,,,0.134314038813644,1.6464532491497948e-47,2.0,,,,
ENSG00000155307_Rest,SAMSN1,Rest,ENSG00000155307,228,832.0,1,0,1,-1.6441216929280902,False,96.25189977480836,False,1 DE gene,False,False,1.0,True,1,,,0.0594809732871954,1.674359465627158e-10,1.0,,,,
ENSG00000155307_Stim48hr,SAMSN1,Stim48hr,ENSG00000155307,181,794.0,0,0,0,-0.2999752454426808,False,210.38450857201417,False,no effect,False,False,1.0,True,0,,,0.0372534490262899,6.359273749465122e-05,1.0,,,,
ENSG00000155307_Stim8hr,SAMSN1,Stim8hr,ENSG00000155307,284,753.0,0,0,0,-0.8446411783572547,False,349.0130799668512,False,no effect,False,False,1.0,True,0,,,0.0815188649409372,1.911377638303068e-18,0.0,,,,
ENSG00000136715_Rest,SAP130,Rest,ENSG00000136715,347,555.0,226,123,349,-5.107904765578107,True,28.837695755616487,False,>50 DE genes,False,False,1.0,True,348,0.0237656514233427,0.7750897239802723,0.0832381340249237,3.625077198530307e-19,1.0,0.090524034192932,0.0745819388042263,0.6318672066909571,0.5625088271415543
ENSG00000136715_Stim48hr,SAP130,Stim48hr,ENSG00000136715,497,668.0,312,261,573,-5.611344787954698,True,35.897789999001425,False,>50 DE genes,False,False,1.0,True,572,0.0546407500422953,0.4898207248542807,0.1790130700812331,1.4776218821533834e-83,1.0,0.1016672292306552,0.0739204835103874,0.6782279676362587,0.6471668708618807
