,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
3,split5_seed3214,donor_comb_3,0.11959125595129763,STAT5B,50,6.0,1
4,split5_seed3214,donor_comb_4,0.1634444452728691,STAT5B,50,23.0,2
5,split5_seed3214,donor_comb_5,0.4649469921845216,STAT5B,50,61.0,2
6,split5_seed3214,donor_comb_6,0.1406061691146189,STAT5B,50,21.0,2
7,split5_seed3214,donor_comb_7,0.41491958567550086,STAT5B,50,59.0,2
8,split5_seed3214,donor_comb_8,0.1831027836274502,STAT5B,50,14.0,2
9,split5_seed3214,donor_comb_9,0.3808559898931012,STAT5B,50,68.0,2
10,split5_seed3214,donor_comb_10,0.4079336286376684,STAT5B,50,76.0,3
11,split5_seed3214,donor_comb_11,0.35927013721789763,STAT5B,50,74.0,3
12,split5_seed3214,donor_comb_12,0.1663190061373288,STAT5B,50,29.0,3
13,split5_seed3214,donor_comb_13,0.4283605147025411,STAT5B,50,67.0,3
14,split5_seed3214,donor_comb_14,0.36934048461288344,STAT5B,50,82.0,4
0,split2_seed432,donor_comb_0,0.32206676208084745,FOXK1,100,10.0,1
1,split2_seed432,donor_comb_1,0.2548869305795982,FOXK1,100,20.0,1
2,split2_seed432,donor_comb_2,0.5611591765796541,FOXK1,100,27.0,1
3,split2_seed432,donor_comb_3,0.08016168261060908,FOXK1,100,4.0,1
4,split2_seed432,donor_comb_4,0.3879645129363268,FOXK1,100,30.0,2
5,split2_seed432,donor_comb_5,0.6027173323057389,FOXK1,100,47.0,2
6,split2_seed432,donor_comb_6,0.27528144646356384,FOXK1,100,14.0,2
7,split2_seed432,donor_comb_7,0.5184832369732477,FOXK1,100,31.0,2
8,split2_seed432,donor_comb_8,0.2931930669575154,FOXK1,100,24.0,2
9,split2_seed432,donor_comb_9,0.5644115114607745,FOXK1,100,37.0,2
10,split2_seed432,donor_comb_10,0.5829237303020354,FOXK1,100,57.0,3
11,split2_seed432,donor_comb_11,0.5159705562617085,FOXK1,100,41.0,3
12,split2_seed432,donor_comb_12,0.3616826313236804,FOXK1,100,34.0,3
13,split2_seed432,donor_comb_13,0.5639395416825553,FOXK1,100,51.0,3
14,split2_seed432,donor_comb_14,0.5475409697976417,FOXK1,100,61.0,4
0,split2_seed432,donor_comb_0,0.4038394061664021,GATA3,100,28.0,1
1,split2_seed432,donor_comb_1,-0.001932680696105553,GATA3,100,12.0,1
2,split2_seed432,donor_comb_2,0.37325343662286625,GATA3,100,89.0,1
3,split2_seed432,donor_comb_3,0.1607427958939185,GATA3,100,28.0,1
4,split2_seed432,donor_comb_4,0.36520832158508176,GATA3,100,40.0,2
5,split2_seed432,donor_comb_5,0.29937824134698876,GATA3,100,101.0,2
6,split2_seed432,donor_comb_6,0.41400645627825194,GATA3,100,56.0,2
7,split2_seed432,donor_comb_7,0.37305750803787735,GATA3,100,117.0,2
8,split2_seed432,donor_comb_8,0.1335355225114002,GATA3,100,40.0,2
9,split2_seed432,donor_comb_9,0.4835519552164054,GATA3,100,117.0,2
10,split2_seed432,donor_comb_10,0.45208990383262093,GATA3,100,129.0,3
11,split2_seed432,donor_comb_11,0.489818046052026,GATA3,100,145.0,3
12,split2_seed432,donor_comb_12,0.3839116473284738,GATA3,100,68.0,3
13,split2_seed432,donor_comb_13,0.3234711024272935,GATA3,100,129.0,3
14,split2_seed432,donor_comb_14,0.4621260596039805,GATA3,100,157.0,4
0,split2_seed432,donor_comb_0,0.4780378600888647,IRF1,100,19.0,1
1,split2_seed432,donor_comb_1,0.5517799947777036,IRF1,100,107.0,1
2,split2_seed432,donor_comb_2,0.3545386543361804,IRF1,100,13.0,1
3,split2_seed432,donor_comb_3,0.3214151907028364,IRF1,100,12.0,1
4,split2_seed432,donor_comb_4,0.601356014236339,IRF1,100,126.0,2
5,split2_seed432,donor_comb_5,0.5921127254128441,IRF1,100,120.0,2
6,split2_seed432,donor_comb_6,0.5157664858306434,IRF1,100,31.0,2
7,split2_seed432,donor_comb_7,0.43790003899118285,IRF1,100,25.0,2
8,split2_seed432,donor_comb_8,0.5662820120689787,IRF1,100,119.0,2
9,split2_seed432,donor_comb_9,0.5402652544275669,IRF1,100,32.0,2
10,split2_seed432,donor_comb_10,0.622799856385533,IRF1,100,139.0,3
11,split2_seed432,donor_comb_11,0.564653409647649,IRF1,100,44.0,3
12,split2_seed432,donor_comb_12,0.6070924746961999,IRF1,100,138.0,3
13,split2_seed432,donor_comb_13,0.602850095339757,IRF1,100,132.0,3
14,split2_seed432,donor_comb_14,0.6291170630971541,IRF1,100,151.0,4
0,split2_seed432,donor_comb_0,0.612926441168268,IRF2,100,27.0,1
1,split2_seed432,donor_comb_1,0.02747324381473061,IRF2,100,2.0,1
2,split2_seed432,donor_comb_2,0.339647326153488,IRF2,100,5.0,1
3,split2_seed432,donor_comb_3,0.2376636367362998,IRF2,100,10.0,1
4,split2_seed432,donor_comb_4,0.5265474050504173,IRF2,100,29.0,2
5,split2_seed432,donor_comb_5,0.2564798967422378,IRF2,100,7.0,2
6,split2_seed432,donor_comb_6,0.5708302598490688,IRF2,100,37.0,2
7,split2_seed432,donor_comb_7,0.34811069636115005,IRF2,100,15.0,2
8,split2_seed432,donor_comb_8,0.1879166137787501,IRF2,100,12.0,2
9,split2_seed432,donor_comb_9,0.6028136753684386,IRF2,100,32.0,2
10,split2_seed432,donor_comb_10,0.5452412339089364,IRF2,100,34.0,3
11,split2_seed432,donor_comb_11,0.5748295839432482,IRF2,100,42.0,3
12,split2_seed432,donor_comb_12,0.517240438510854,IRF2,100,39.0,3
13,split2_seed432,donor_comb_13,0.30412172500960327,IRF2,100,17.0,3
14,split2_seed432,donor_comb_14,0.5357866085744125,IRF2,100,44.0,4
0,split2_seed432,donor_comb_0,0.22353363580403632,KLF2,100,15.0,1
