,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
1,split2_seed432,donor_comb_1,0.013553460271857918,IRF2,100,2.0,1
2,split2_seed432,donor_comb_2,0.021516531009321698,IRF2,100,5.0,1
3,split2_seed432,donor_comb_3,0.04256046668798707,IRF2,100,10.0,1
4,split2_seed432,donor_comb_4,0.08783658509464706,IRF2,100,29.0,2
5,split2_seed432,donor_comb_5,0.04114821899783275,IRF2,100,7.0,2
6,split2_seed432,donor_comb_6,0.09858975382232714,IRF2,100,37.0,2
7,split2_seed432,donor_comb_7,0.04920469124863618,IRF2,100,15.0,2
8,split2_seed432,donor_comb_8,0.053645065705637957,IRF2,100,12.0,2
9,split2_seed432,donor_comb_9,0.08924082451382159,IRF2,100,32.0,2
10,split2_seed432,donor_comb_10,0.08937501979163473,IRF2,100,34.0,3
11,split2_seed432,donor_comb_11,0.10075960679820012,IRF2,100,42.0,3
12,split2_seed432,donor_comb_12,0.10147931781936048,IRF2,100,39.0,3
13,split2_seed432,donor_comb_13,0.06320140555393076,IRF2,100,17.0,3
14,split2_seed432,donor_comb_14,0.1020666094475706,IRF2,100,44.0,4
0,split2_seed432,donor_comb_0,0.1358736448895713,KLF2,100,15.0,1
1,split2_seed432,donor_comb_1,0.11223949092575795,KLF2,100,31.0,1
2,split2_seed432,donor_comb_2,0.3994975094662442,KLF2,100,61.0,1
3,split2_seed432,donor_comb_3,0.04084272315520798,KLF2,100,3.0,1
4,split2_seed432,donor_comb_4,0.17321412206568237,KLF2,100,46.0,2
5,split2_seed432,donor_comb_5,0.39137454382926246,KLF2,100,92.0,2
6,split2_seed432,donor_comb_6,0.12760205865788393,KLF2,100,18.0,2
7,split2_seed432,donor_comb_7,0.41068553186757395,KLF2,100,64.0,2
8,split2_seed432,donor_comb_8,0.13023831214958587,KLF2,100,34.0,2
9,split2_seed432,donor_comb_9,0.4185458581459705,KLF2,100,76.0,2
10,split2_seed432,donor_comb_10,0.4070464319782978,KLF2,100,107.0,3
11,split2_seed432,donor_comb_11,0.4052254560992549,KLF2,100,79.0,3
12,split2_seed432,donor_comb_12,0.17605051492303112,KLF2,100,49.0,3
13,split2_seed432,donor_comb_13,0.4119862619752029,KLF2,100,95.0,3
14,split2_seed432,donor_comb_14,0.4090998583881444,KLF2,100,110.0,4
0,split2_seed432,donor_comb_0,0.3176788549701542,MED12,100,15.0,1
