gene_id,gene_name,gene_biotype,DonorH_NTC1_cpm,DonorH_NTC1_count,DonorH_SGF29-4_cpm,DonorH_SGF29-4_count,DonorH_GATA3-3_cpm,DonorH_GATA3-3_count,DonorH_ATP2A2-3_cpm,DonorH_ATP2A2-3_count,DonorH_NTC2_cpm,DonorH_NTC2_count
ENSG00000004866,ST7,protein_coding,16.970661711990488,189.5,21.971949688614657,264.5,12.36679595699674,144.5,13.133069450360404,147.0,17.392248035064714,193.5
ENSG00000004897,CDC27,protein_coding,70.53974200888415,787.67,64.78028554129439,779.83,70.0782251451048,818.83,64.16174481064851,718.17,65.01464998037913,723.33
ENSG00000004939,SLC4A1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0893406085058531,1.0,0.0,0.0
ENSG00000004948,CALCR,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0893406085058531,1.0,0.0,0.0
ENSG00000004961,HCCS,protein_coding,38.82206782136082,433.5,39.790411723426914,479.0,41.636306111272766,486.5,40.78398778292194,456.5,39.638146684566095,441.0
ENSG00000004975,DVL2,protein_coding,28.92624661199434,323.0,37.96287715575386,457.0,26.530842537501663,310.0,28.41031350486128,318.0,30.110610293264493,335.0
ENSG00000005001,PRSS22,protein_coding,0.0895549430711899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797648375717283,2.0
ENSG00000005007,UPF1,protein_coding,103.07773947493958,1151.0,101.42816850585442,1221.0,113.74028945916034,1329.0,117.75092201071438,1318.0,113.70125976411816,1265.0
ENSG00000005020,SKAP2,protein_coding,6.895730616481622,77.0,11.920509566412864,143.5,6.675502315887514,78.0,8.040654765526778,90.0,7.325417131047929,81.5
ENSG00000005022,SLC25A5,protein_coding,711.2453578713902,7942.0,691.7907817593035,8327.83,745.3309594060341,8708.83,596.3485617765695,6675.0,678.7767466596525,7551.83
ENSG00000005059,MCUB,protein_coding,57.85249322398868,646.0,70.44315060848858,848.0,78.65111061923879,919.0,66.82677516237813,748.0,59.05274914231275,657.0
ENSG00000005073,HOXA11,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0893406085058531,1.0,0.0,0.0
ENSG00000005075,POLR2J,protein_coding,73.10638667730446,816.33,72.65862092302676,874.67,73.06679618190981,853.75,76.59438389032303,857.33,73.32158312456869,815.75
ENSG00000005100,DHX33,protein_coding,121.79472257681826,1360.0,113.18253856611518,1362.5,147.5457178537189,1724.0,129.18651989946358,1446.0,126.6443280692826,1409.0
ENSG00000005102,MEOX1,protein_coding,0.5373296584271394,6.0,0.1661395061520957,2.0,0.5135001781451934,6.0,0.4467030425292654,5.0,0.4494120939293208,5.0
ENSG00000005108,THSD7A,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.1786812170117062,2.0,0.0898824187858641,1.0
ENSG00000005156,LIG3,protein_coding,44.04580765070333,491.83,36.079685853519855,434.33,48.82530860530547,570.5,39.041845917057806,437.0,44.94120939293208,500.0
ENSG00000005175,RPAP3,protein_coding,50.15076811986634,560.0,41.86715555032811,504.0,55.286852513632496,646.0,47.26118189959629,529.0,48.35674130679491,538.0
ENSG00000005187,ACSM3,protein_coding,3.8508625520611655,43.0,2.3259530861293394,28.0,1.882833986532376,22.0,2.7695588636814463,31.0,3.3256494950769744,37.0
ENSG00000005189,REXO5,protein_coding,3.8508625520611655,43.0,8.47311481375688,102.0,4.364751514234144,51.0,2.9482400806931524,33.0,4.224473682935615,47.0
ENSG00000005194,CIAPIN1,protein_coding,77.42024828504367,864.5,72.81063857115593,876.5,75.55556037865352,882.83,67.36281881341323,754.0,76.57982080555627,852.0
ENSG00000005206,SPPL2B,protein_coding,10.254040981651244,114.5,10.882137652962268,131.0,13.778921446896025,161.0,11.435597888749196,128.0,12.493656211235118,139.0
ENSG00000005238,ATOSB,protein_coding,5.776293828091749,64.5,10.259114504891908,123.5,3.5517095655042543,41.5,5.807139552880451,65.0,3.9844876247773584,44.33
ENSG00000005243,COPZ2,protein_coding,2.8657581782780768,32.0,7.143998764540114,86.0,2.7386676167743653,32.0,3.484283731728271,39.0,2.426825307218332,27.0
ENSG00000005249,PRKAR2B,protein_coding,2.2388735767797474,25.0,1.578325308444909,19.0,1.626083897459779,19.0,1.4294497360936496,16.0,1.168471444216234,13.0
ENSG00000005302,MSL3,protein_coding,43.03115014570675,480.5,33.47711048964728,403.0,60.25068756903603,704.0,47.26118189959629,529.0,40.04261756910248,445.5
ENSG00000005339,CREBBP,protein_coding,35.060760212370845,391.5,32.6464129588868,393.0,37.74226309367172,441.0,40.56063626165731,454.0,35.952967514345666,400.0
ENSG00000005379,TSPOAP1,protein_coding,3.940417495132355,44.0,4.7349759253347266,57.0,7.360169220081106,86.0,5.003074076327773,56.0,4.134591264149751,46.0
ENSG00000005381,MPO,protein_coding,0.0,0.0,0.0830697530760478,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005421,PON1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898824187858641,1.0
ENSG00000005436,GCFC2,protein_coding,38.23996069139809,427.0,33.726319748875426,406.0,44.760098861656026,523.0,39.08651622131073,437.5,38.46967524034986,428.0
ENSG00000005448,WDR54,protein_coding,25.47838130375353,284.5,34.328575458676774,413.25,18.400423050202765,215.0,19.11889022025256,214.0,26.29060749486527,292.5
