gene_id,gene_name,gene_biotype,DonorA_NTC1_cpm,DonorA_NTC1_count,DonorA_NFKB2-3_cpm,DonorA_NFKB2-3_count,DonorA_MED24-3_cpm,DonorA_MED24-3_count,DonorA_GATA3-3_cpm,DonorA_GATA3-3_count,DonorA_CYB5R4-3_cpm,DonorA_CYB5R4-3_count,DonorA_KDM1A-3_cpm,DonorA_KDM1A-3_count,DonorA_ELOB-3_cpm,DonorA_ELOB-3_count,DonorA_MEN1-3_cpm,DonorA_MEN1-3_count,DonorA_NTC2_cpm,DonorA_NTC2_count
ENSG00000136244,IL6,protein_coding,1.6107629144804845,9.0,0.8081959147716999,6.0,1.7011034018548297,11.0,3.795886526831016,14.0,28.776606362067795,14.0,10.488809875518676,16.0,2.8134711926715155,7.0,5.120178736018547,5.0,1.0430214335480883,7.0
ENSG00000136247,ZDHHC4,protein_coding,10.022524801211905,56.0,14.278127827633366,106.0,12.9902441596187,84.0,7.862907805578533,29.0,4.110943766009686,2.0,7.211056789419089,11.0,6.832715753630823,17.0,5.120178736018547,5.0,13.708281698060588,92.0
ENSG00000136250,AOAH,protein_coding,8.411761886731417,47.0,7.947259828588382,59.0,4.484727150344551,29.0,7.862907805578533,29.0,8.221887532019371,4.0,3.933303703319503,6.0,19.292373892604676,48.0,41.98546563535208,41.0,9.536195963868234,64.0
ENSG00000136261,BZW2,protein_coding,211.00994179694345,1179.0,200.02848890599572,1485.0,205.36957433301944,1328.0,167.56127668439768,618.0,117.16189733127602,57.0,95.71039011410792,146.0,70.73870427288381,176.0,90.1151457539264,88.0,206.22023771865057,1384.0
ENSG00000136267,DGKB,protein_coding,0.0,0.0,0.0,0.0,0.1546457638049845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136270,TBRG4,protein_coding,33.110126575432176,185.0,44.98957258895796,334.0,39.89860706168601,258.0,16.268085114990065,60.0,22.610190713053267,11.0,5.899955554979255,9.0,10.851960314590132,27.0,4.096142988814837,4.0,46.56345685482537,312.5
ENSG00000136271,DDX56,protein_coding,53.87107080651398,301.0,77.7215071372118,577.0,54.89924615076951,355.0,22.775319160986093,84.0,28.776606362067795,14.0,17.699866664937765,27.0,15.675053787741302,39.0,11.264393219240802,11.0,67.42388552578713,452.5
ENSG00000136273,HUS1,protein_coding,19.508128630930308,109.0,18.5885060397491,138.0,20.72253234986793,134.0,27.11347519165011,100.0,30.832078245072637,15.0,32.12198024377594,49.0,18.08660052431689,45.0,30.721072416111273,30.0,19.22139498967191,129.0
ENSG00000136274,NACAD,protein_coding,0.1789736571644982,1.0,0.1346993191286166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136275,PKD1L1-AS1,lncRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.2711347519165011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136279,DBNL,protein_coding,44.65392746254231,249.5,65.4638690965077,486.0,53.58475715842714,346.5,23.317588664819095,86.0,18.499246947043584,9.0,15.077664196058096,23.0,27.330863014523292,68.0,28.160983048102,27.5,49.32001350063103,331.0
ENSG00000136280,CCM2,protein_coding,16.465576459133842,92.0,28.017458378752263,208.0,17.16567978235328,111.0,6.2360992940795255,23.0,4.110943766009686,2.0,7.211056789419089,11.0,3.617320104863377,9.0,9.216321724833382,9.0,23.98949297160603,161.0
ENSG00000136286,MYO1G,protein_coding,39.55317823335411,221.0,87.28515879534359,648.0,46.39372914149535,300.0,6.778368797912528,25.0,10.277359415024211,5.0,4.58885432053942,7.0,8.038489121918616,20.0,10.240357472037092,10.0,52.59808086321073,353.0
ENSG00000136295,TTYH3,protein_coding,14.49686623032436,81.0,25.8622692726944,192.0,16.392450963328358,106.0,3.2536170229980135,12.0,10.277359415024211,5.0,0.6555506172199173,1.0,3.215395648767446,8.0,7.168250230425964,7.0,23.98949297160603,161.0
ENSG00000136297,MMD2,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136305,CIDEB,protein_coding,10.738419429869897,60.0,14.07607884894044,104.5,6.49512207980935,42.0,8.676312061328037,32.0,2.055471883004843,1.0,3.2777530860995863,5.0,6.028866841438962,15.0,6.144214483222255,6.0,13.857284759996029,93.0
ENSG00000136315,RNASE2CP,lncRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136319,TTC5,protein_coding,35.168323632823906,196.5,41.08329233422808,305.0,36.57372313987884,236.5,28.33358157527437,104.5,16.443775064038743,8.0,30.81087900933611,47.0,15.27312933164537,38.0,15.360536208055636,15.0,41.497352749020365,278.5
