gene_id,gene_name,gene_biotype,Donor6_NTC2_cpm,Donor6_NTC2_count,Donor6_MEN1_cpm,Donor6_MEN1_count,Donor6_ELOB_cpm,Donor6_ELOB_count,Donor6_SGF29_cpm,Donor6_SGF29_count,Donor6_GATA3_cpm,Donor6_GATA3_count,Donor6_NTC3_cpm,Donor6_NTC3_count,Donor6_MED24_cpm,Donor6_MED24_count,Donor6_NFKB2_cpm,Donor6_NFKB2_count,Donor6_KDM1A_cpm,Donor6_KDM1A_count,Donor6_CYB5R4_cpm,Donor6_CYB5R4_count,Donor6_NTC1_cpm,Donor6_NTC1_count
ENSG00000121653,MAPK8IP1,protein_coding,0.3370880090970255,3.0,0.1092798232672495,1.0,0.1444159286113358,1.67,0.2446142854881339,3.0,0.1513923110902638,1.33,0.3970432506199739,2.83,0.2182037674886433,2.33,0.1968486449735545,2.33,0.4527669913206692,5.67,0.0,0.0,0.2347722934135291,3.0
ENSG00000121671,CRY2,protein_coding,10.449728282007792,93.0,9.50734462425071,87.0,9.771856247353858,113.0,11.333795227616871,139.0,9.789277258468193,86.0,7.716388262932356,55.0,10.676064160388558,114.0,10.898487210982202,129.0,8.30472082845672,104.0,10.64820581122694,114.0,13.38202072457116,171.0
ENSG00000121680,PEX16,protein_coding,13.708245703279037,122.0,15.736294550483931,144.0,14.095686445298044,163.0,14.92147141477617,183.0,14.34242947170921,126.0,17.958139957369845,128.0,18.636287437871253,199.0,14.024409899403455,166.0,13.415318261353162,168.0,18.587657512580364,199.0,12.83421870660626,164.0
ENSG00000121690,DEPDC7,protein_coding,0.898901357592068,8.0,0.7649587628707467,7.0,1.383625663342139,16.0,1.5492238080915148,19.0,1.25211685864128,11.0,1.543277652586471,11.0,1.1237962274093218,12.0,0.9293283668279398,11.0,0.5589715942230484,7.0,1.4010797120035448,15.0,1.5651486227568607,20.0
ENSG00000121691,CAT,protein_coding,19.101653848831443,170.0,16.501253313354677,151.0,17.900657019488925,207.0,22.83066664555917,280.0,28.001886111432267,246.0,14.310392778529096,102.0,16.38869498305261,175.0,19.76934889433981,234.0,19.72371196758471,247.0,17.747009685378234,190.0,20.425189526977032,261.0
ENSG00000121716,PILRB,protein_coding,38.830291394583355,345.58,29.08701055904381,266.17,20.22082430370578,233.83,44.24827810194854,542.67,35.40075845794892,311.0,29.99991458659683,213.83,37.37184354249701,399.06,31.463679124914663,372.42,40.20602824161498,503.5,31.228198674276346,334.33,39.45504905676633,504.17
ENSG00000121741,ZMYM2,protein_coding,24.66360599893237,219.5,22.511643593053403,206.0,27.931943078719435,323.0,23.890661882674415,293.0,23.33490509286022,205.0,21.8864830730445,156.0,27.06475914344117,289.0,27.20397582896333,322.0,26.67093035292831,334.0,25.763987797462516,275.83,24.064160074886736,307.5
ENSG00000121742,GJB6,protein_coding,1.797802715184136,16.0,2.622715758413989,24.0,5.448026049409672,63.0,3.5061380919965863,43.0,8.878646815819986,78.0,1.8238735894203748,13.0,1.4047452842616523,15.0,3.0414382914368936,36.0,4.631478923562401,58.0,1.0274584554692665,11.0,2.8955249521001925,37.0
ENSG00000121743,GJA3,protein_coding,0.0,0.0,0.0,0.0,0.1729532079177674,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5589715942230484,7.0,0.0934053141335696,1.0,0.0,0.0
ENSG00000121749,TBC1D15,protein_coding,27.07940339746105,241.0,29.286992635622873,268.0,25.597074771829575,296.0,31.881395208620123,391.0,26.69285485012547,234.5,26.937209936054767,192.0,25.566364173562075,273.0,26.908280439518073,318.5,30.34417225782263,380.0,21.67003287898816,232.0,26.76404144914232,342.0
