gene_id,gene_name,gene_biotype,Donor10_NTC_cpm,Donor10_NTC_count,Donor10_CYB5R4_cpm,Donor10_CYB5R4_count,Donor10_SGF29_cpm,Donor10_SGF29_count,Donor10_ATP2A2_cpm,Donor10_ATP2A2_count,Donor10_KDM1A_cpm,Donor10_KDM1A_count
ENSG00000274535,SNORD39,snoRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274536,MIR223HG,lncRNA,0,0,0.095489334,1,0,0,0.33017417,1,0.220433617,2
ENSG00000274541,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274544,SNORD28,snoRNA,0,0,0,0,0.057882788,0.5,0,0,0,0
ENSG00000274547,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274549,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274551,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274552,MIR6889,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274553,CICP15,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274554,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274559,,artifact,0.552163309,5.92,0.541424525,5.67,0.772156392,6.67,0.439131646,1.33,0.697672398,6.33
ENSG00000274560,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274561,,lncRNA,0.746166634,8,0.859404007,9,1.157655761,10,0.990522509,3,0.881734468,8
ENSG00000274562,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274565,,lncRNA,4.663541465,50,1.241361344,13,3.24143613,28,3.301741696,10,5.951707659,54
ENSG00000274568,RN7SL545P,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274569,,unitary_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274570,SPDYE10,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000274572,ZYXP1,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274576,IGHV2-70,IG_V_gene,0,0,0,0,0,0,0,0,0,0
ENSG00000274578,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274579,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274582,SNORA16A,snoRNA,0.062491456,0.67,0,0,0.077562936,0.67,0.108957476,0.33,0,0
ENSG00000274583,FAM74A4,transcribed_processed_pseudogene,0,0,0,0,0.019680148,0.17,0,0,0,0
ENSG00000274584,,unprocessed_pseudogene,0.093270829,1,0.477446671,5,1.157655761,10,0.825435424,2.5,0.330650425,3
ENSG00000274585,RNU2-1,snRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274588,DGKK,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000274589,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274591,,lncRNA,2.518312391,27,1.527829346,16,2.199545945,19,2.311219188,7,1.983902553,18
ENSG00000274594,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274598,,lncRNA,0.373083317,4,0.190978668,2,0,0,0.33017417,1,0.330650425,3
ENSG00000274599,DUX4L24,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274600,RIMBP3B,protein_coding,0.303130195,3.25,0.159467188,1.67,0.559147732,4.83,0,0,0.239170474,2.17
ENSG00000274601,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274602,PI4KAP1,transcribed_unprocessed_pseudogene,0.512989561,5.5,0.317979483,3.33,0.240792398,2.08,0.165087085,0.5,0.321833081,2.92
ENSG00000274603,Y_RNA,misc_RNA,0.046635415,0.5,0.047744667,0.5,0.173648364,1.5,0,0,0.110216808,1
ENSG00000274605,PCCA-DT,lncRNA,6.155874734,66,3.915062699,41,9.492777238,82,6.933657563,21,5.290406808,48
ENSG00000274606,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274607,RNU6-866P,snRNA,0,0,0.095489334,1,0,0,0,0,0,0
ENSG00000274611,TBC1D3,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000274612,BNIP3P14,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274614,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274615,NPEPPSP1,transcribed_unprocessed_pseudogene,1.53523785,16.46,1.356903438,14.21,1.514213735,13.08,1.086273018,3.29,1.487926915,13.5
ENSG00000274617,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274618,H4C6,protein_coding,0.093270829,1,0.381957337,4,0.57882788,5,0.33017417,1,0,0
ENSG00000274620,MIR378J,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274621,MIR6867,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274624,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274625,,scaRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274628,CYP4F59P,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0.018736857,0.17
ENSG00000274629,,lncRNA,0,0,0.095489334,1,0.231531152,2,0,0,0,0
ENSG00000274630,,lncRNA,0,0,0.095489334,1,0.115765576,1,0.33017417,1,0.330650425,3
ENSG00000274631,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274632,RN7SL719P,misc_RNA,0,0,0,0,0,0,0,0,0.027554202,0.25
ENSG00000274637,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274640,SNORD109A,snoRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274641,H2BC17,protein_coding,0.310591862,3.33,0.095489334,1,0.115765576,1,0.33017417,1,0.256805164,2.33
ENSG00000274642,,transcribed_unprocessed_pseudogene,0.093270829,1,0,0,0,0,0,0,0,0
ENSG00000274647,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274649,,processed_pseudogene,0,0,0.03151148,0.33,0,0,0,0,0,0
ENSG00000274653,,lncRNA,0,0,0,0,0,0,0.33017417,1,0.110216808,1
ENSG00000274654,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274655,,misc_RNA,0,0,0.047744667,0.5,0.115765576,1,0.165087085,0.5,0,0
ENSG00000274656,RN7SL625P,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274658,TBC1D3JP,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274659,LINC02371,lncRNA,0,0,0,0,0.115765576,1,0,0,0,0
ENSG00000274660,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274662,RN7SKP236,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274663,RNA5SP526,rRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274664,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274666,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274667,,lncRNA,0.839437464,9,1.336850678,14,0.694593456,6,0.660348339,2,0.991951276,9
