gene_id,gene_name,gene_biotype,Donor8_ELOB_cpm,Donor8_ELOB_count,Donor8_GATA3_cpm,Donor8_GATA3_count,Donor8_SGF29_cpm,Donor8_SGF29_count,Donor8_MED24_cpm,Donor8_MED24_count,Donor8_NFKB2_cpm,Donor8_NFKB2_count,Donor8_KDM1A_cpm,Donor8_KDM1A_count,Donor8_NTC1_cpm,Donor8_NTC1_count,Donor8_NTC2_cpm,Donor8_NTC2_count,Donor8_NTC3_cpm,Donor8_NTC3_count
ENSG00000232791,OR11I1P,unitary_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232792,FTH1P25,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232793,DNAJC19P8,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232794,HNRNPDP1,processed_pseudogene,0.083836436,0.5,0.064973782,0.5,0,0,0.236543497,1.5,0.123751795,1,0.136068228,1,0.060802121,0.5,0.177080749,1.5,0,0
ENSG00000232795,SCAND3P1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232797,FAM207CP,processed_pseudogene,0,0,0,0,0,0,0.078847832,0.5,0,0,0,0,0,0,0,0,0,0
ENSG00000232798,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232799,CRYGFP,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232800,SLC7A15P,unitary_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232801,SDCBPP3,processed_pseudogene,0.083836436,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232803,SLCO4A1-AS1,lncRNA,0,0,0,0,0.145938923,1,0,0,0.123751795,1,0,0,0,0,0,0,0,0
ENSG00000232805,NIP7P1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232806,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232807,,lncRNA,0.670691485,4,0.389842693,3,0.43781677,3,0.473086993,3,0.55688308,4.5,0.544272912,4,0.486416965,4,0.118053833,1,0.385973622,3
ENSG00000232808,TTTY20,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232809,VDAC1P10,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232810,TNF,protein_coding,39.90614337,238,127.998351,985,55.89460767,383,176.6191441,1120,70.9097788,573,77.96709463,573,134.8591035,1109,117.2274558,993,104.7275094,814
ENSG00000232811,,lncRNA,0,0,0.129947564,1,0.291877847,2,0.157695664,1,0,0,0.136068228,1,0.243208482,2,0.236107665,2,0.257315748,2
ENSG00000232812,LINC01717,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232813,S100A11P6,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232814,COL4A2-AS1,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232815,DUX4L50,unprocessed_pseudogene,0,0,0,0,0.048159845,0.33,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232817,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232818,RPS2P32,processed_pseudogene,3.521130297,21,1.949213467,15,5.034892858,34.5,3.469304617,22,2.598787705,21,3.537773927,26,2.128074222,17.5,1.416645991,12,3.087788975,24
ENSG00000232821,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232823,TXNP1,processed_pseudogene,3.911808087,23.33,2.469003724,19,2.480961698,17,3.390456785,21.5,2.784415398,22.5,1.802904021,13.25,2.128074222,17.5,2.813222831,23.83,2.444499605,19
ENSG00000232824,PRR13P1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232825,PLPPR5-AS1,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232827,LINC01189,lncRNA,0.831657442,4.96,1.02918471,7.92,0.917955828,6.29,1.130677914,7.17,0.845224763,6.83,1.337550681,9.83,1.134567571,9.33,0.885403745,7.5,0.697325677,5.42
ENSG00000232828,,lncRNA,0.335345743,2,0.389842693,3,0.583755694,4,0.157695664,1,0.247503591,2,0.136068228,1,0.121604241,1,0.354161498,3,0.514631496,4
ENSG00000232829,GSTO3P,processed_pseudogene,0,0,0.064973782,0.5,0.072969462,0.5,0,0,0.247503591,2,0,0,0.060802121,0.5,0,0,0,0
