gene_id,gene_name,gene_biotype,DonorC2_NTC1_cpm,DonorC2_NTC1_count,DonorC2_SGF29-4_cpm,DonorC2_SGF29-4_count,DonorC2_NTC2_cpm,DonorC2_NTC2_count
ENSG00000185436,IFNLR1,protein_coding,7.192076456926548,47.0,5.546236953101521,43.0,6.435205000990724,46.5
ENSG00000185437,SH3BGR,protein_coding,0.9181374200331764,6.0,0.773893528339747,6.0,0.4843702688917749,3.5
ENSG00000185442,FAM174B,protein_coding,1.224183226710902,8.0,2.1926983302959497,17.0,1.1071320431812,8.0
ENSG00000185448,FAM47A,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185453,ZSWIM9,protein_coding,3.519526776793843,23.0,6.771568372972785,52.5,3.8749621511341994,28.0
ENSG00000185467,KPNA7,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185475,TMEM179B,protein_coding,23.642038565854293,154.5,42.177197294516205,327.0,33.28315704813482,240.5
ENSG00000185477,GPRIN3,protein_coding,58.91381778546216,385.0,32.1165814260995,249.0,44.70045624344095,323.0
ENSG00000185479,KRT6B,protein_coding,4.794207561606569,31.33,3.2026293847793195,24.83,4.151745161929499,30.0
ENSG00000185480,PARPBP,protein_coding,15.455313237225136,101.0,11.285947288287977,87.5,12.801214249282625,92.5
ENSG00000185482,STAC3,protein_coding,0.3060458066777254,2.0,0.6449112736164558,5.0,0.13839150539765,1.0
ENSG00000185483,ROR1,protein_coding,0.6120916133554509,4.0,0.3869467641698735,3.0,0.5535660215906,4.0
ENSG00000185485,SDHAP1,transcribed_unprocessed_pseudogene,1.0589184911049303,6.92,1.150521712131757,8.92,1.5569044357235622,11.25
ENSG00000185495,SEPTIN7P13,transcribed_unprocessed_pseudogene,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185499,MUC1,protein_coding,2.5248779050912353,16.5,5.610728080463166,43.5,2.837025860651824,20.5
ENSG00000185504,FAAP100,protein_coding,9.181374200331764,60.0,23.92620825117051,185.5,11.763277958800249,85.0
ENSG00000185507,IRF7,protein_coding,7.651145166943136,50.0,11.608402925096204,90.0,10.240971399426098,74.0
ENSG00000185513,L3MBTL1,protein_coding,8.160711435061549,53.33,5.739710335186457,44.5,6.6192657031695985,47.83
ENSG00000185515,BRCC3,protein_coding,22.494366790812823,147.0,15.993799585688103,124.0,17.921699948995673,129.5
ENSG00000185518,SV2B,protein_coding,0.1530229033388627,1.0,0.0,0.0,0.0,0.0
ENSG00000185519,FAM131C,protein_coding,4.437664196827019,29.0,16.703201986666205,129.5,12.870410001981448,93.0
ENSG00000185522,LMNTD2,protein_coding,0.3060458066777254,2.0,0.2579645094465823,2.0,0.0,0.0
ENSG00000185523,SPATA45,protein_coding,0.1530229033388627,1.0,0.0,0.0,0.2075872580964749,1.5
ENSG00000185527,PDE6G,protein_coding,0.9181374200331764,6.0,4.6433611700384825,36.0,3.3213961295435994,24.0
ENSG00000185532,PRKG1,protein_coding,0.1530229033388627,1.0,0.0,0.0,0.2767830107953,2.0
ENSG00000185551,NR2F2,protein_coding,3.2134809701161173,21.0,1.2898225472329117,10.0,1.1071320431812,8.0
ENSG00000185559,DLK1,protein_coding,8.110213876959726,53.0,4.5143789153151905,35.0,8.8570563454496,64.0
ENSG00000185561,TLCD2,protein_coding,0.3060458066777254,2.0,0.2579645094465823,2.0,0.0,0.0
ENSG00000185565,LSAMP,protein_coding,0.1530229033388627,1.0,0.0,0.0,0.0,0.0
ENSG00000185567,AHNAK2,protein_coding,0.9181374200331764,6.0,0.6449112736164558,5.0,0.9687405377835498,7.0
ENSG00000185585,OLFML2A,protein_coding,1.071160323372039,7.0,1.1608402925096206,9.0,0.4151745161929499,3.0
ENSG00000185591,SP1,protein_coding,42.616878579873266,278.5,36.88892485086127,286.0,36.396965919581945,263.0
ENSG00000185594,SPATA8,lncRNA,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185596,WASH3P,transcribed_unprocessed_pseudogene,0.5034453519848584,3.29,0.7571258352257192,5.87,0.9839636033772914,7.11
ENSG00000185607,ACTBP7,processed_pseudogene,0.3825572583471568,2.5,0.1289822547232911,1.0,0.13839150539765,1.0
ENSG00000185608,MRPL40,protein_coding,44.52966487160906,291.0,51.592901889316465,400.0,48.16024387838219,348.0
ENSG00000185610,DBX2,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185614,INKA1,protein_coding,0.0,0.0,0.5159290188931646,4.0,0.4151745161929499,3.0
ENSG00000185615,PDIA2,protein_coding,0.0,0.0,0.2579645094465823,2.0,0.0,0.0
ENSG00000185619,PCGF3,protein_coding,36.18991663964104,236.5,27.40872912869937,212.5,25.11805822967347,181.5
ENSG00000185621,LMLN,protein_coding,6.120916133554509,40.0,4.7723434247617735,37.0,4.7053111835201,34.0
ENSG00000185624,P4HB,protein_coding,111.09462782401437,726.0,166.8385464845771,1293.5,150.29317486184786,1086.0
ENSG00000185627,PSMD13,protein_coding,41.01013809481521,268.0,73.0039561733828,566.0,53.14233807269759,384.0
ENSG00000185630,PBX1,protein_coding,2.5248779050912353,16.5,1.2898225472329117,10.0,3.044613118748299,22.0
ENSG00000185631,RPL14P6,processed_pseudogene,0.1530229033388627,1.0,0.0,0.0,0.069195752698825,0.5
ENSG00000185633,NDUFA4L2,protein_coding,0.3060458066777254,2.0,0.5159290188931646,4.0,0.4151745161929499,3.0
ENSG00000185634,SHC4,protein_coding,18.209725497324666,119.0,21.669018793512915,168.0,20.343551293454546,147.0
ENSG00000185638,FTH1P14,transcribed_processed_pseudogene,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185640,KRT79,protein_coding,0.0,0.0,0.1289822547232911,1.0,0.0,0.0
ENSG00000185641,,processed_pseudogene,746.1733417190293,4876.22,621.3242886952075,4817.13,719.1694486945898,5196.63
ENSG00000185650,ZFP36L1,protein_coding,648.5875758017697,4238.5,540.8225940547599,4193.0,622.8309700421237,4500.5
ENSG00000185651,UBE2L3,protein_coding,196.1110924610197,1281.58,228.363081987587,1770.5,232.0590279959414,1676.83
ENSG00000185652,NTF3,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185658,BRWD1,protein_coding,59.44939794714818,388.5,50.30307934208355,390.0,48.71380989997279,352.0
ENSG00000185662,SMIM23,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185664,PMEL,protein_coding,0.4590687100165882,3.0,0.2579645094465823,2.0,0.6919575269882499,5.0
ENSG00000185666,SYN3,protein_coding,0.1530229033388627,1.0,0.0,0.0,0.13839150539765,1.0
ENSG00000185668,POU3F1,protein_coding,11.323694847075842,74.0,9.93163361369342,77.0,11.624886453402596,84.0
ENSG00000185669,SNAI3,protein_coding,0.4590687100165882,3.0,0.6449112736164558,5.0,0.2767830107953,2.0
ENSG00000185670,ZBTB3,protein_coding,4.590687100165883,30.0,3.8694676416987352,30.0,6.089226237496598,44.0
ENSG00000185674,LYG2,protein_coding,0.1530229033388627,1.0,0.0,0.0,0.0,0.0
ENSG00000185681,MORN5,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185684,EP400P1,transcribed_unprocessed_pseudogene,1.453717581719196,9.5,1.9347338208493676,15.0,1.5915023120729748,11.5
ENSG00000185686,PRAME,protein_coding,16.985542270613763,111.0,6.965041755057723,54.0,13.008801507379095,94.0
ENSG00000185689,TEX56P,transcribed_unitary_pseudogene,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185697,MYBL1,protein_coding,1.9892977434052157,13.0,2.450662839742532,19.0,1.7990895701694498,13.0
ENSG00000185700,TTTY8B,lncRNA,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185701,OR5M5P,unprocessed_pseudogene,0.0,0.0,0.0,0.0,0.0,0.0
