gene_id,gene_name,gene_biotype,Donor7_NTC1_cpm,Donor7_NTC1_count,Donor7_MEN1_cpm,Donor7_MEN1_count,Donor7_ELOB_cpm,Donor7_ELOB_count,Donor7_SGF29_cpm,Donor7_SGF29_count,Donor7_GATA3_cpm,Donor7_GATA3_count,Donor7_NTC2_cpm,Donor7_NTC2_count,Donor7_MED24_cpm,Donor7_MED24_count,Donor7_NFKB2_cpm,Donor7_NFKB2_count,Donor7_KDM1A_cpm,Donor7_KDM1A_count,Donor7_ATP2A2_cpm,Donor7_ATP2A2_count,Donor7_NTC3_cpm,Donor7_NTC3_count
ENSG00000042832,TG,protein_coding,0.0,0.0,0.0,0.0,0.2476926138822957,3.0,0.0852810093815242,1.0,0.0895706435411674,1.0,0.2544967449789968,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318237558412545,1.0,0.0,0.0
ENSG00000042980,ADAM28,protein_coding,0.0,0.0,0.0869874198976017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119115635057608,3.0,0.0,0.0,1.1207373216523946,8.0
ENSG00000043039,BARX2,protein_coding,1.113197587825926,13.33,4.001421315289682,46.0,1.568719887921206,19.0,0.6251097987665725,7.33,1.7018422272821816,19.0,1.0179869799159873,12.0,1.7945880317504317,16.33,0.6539208159469615,4.0,1.4277936481801088,7.0,3.709180093460072,16.0,1.260829486858944,9.0
ENSG00000043093,DCUN1D1,protein_coding,45.29035617446621,542.33,41.464293442589835,476.67,35.08978696665856,425.0,43.83443882210344,514.0,38.67929100038234,431.83,43.61819712195026,514.17,42.76790106039899,389.17,41.33269997396757,252.83,35.35421043415118,173.33,41.072214822395054,177.17,38.711668011525774,276.33
ENSG00000043143,JADE2,protein_coding,52.61173895951489,630.0,54.80207453548911,630.0,41.88069279726483,507.25,52.128016984456664,611.25,53.742386124700474,600.0,53.9957260597105,636.5,37.510516404003354,341.33,57.70851200731935,353.0,29.167784527107933,143.0,41.96009980726706,181.0,46.48678318048926,331.83
ENSG00000043355,ZIC2,protein_coding,0.334042787044539,4.0,0.2609622596928053,3.0,0.3302568185097276,4.0,0.426405046907621,5.0,0.7165651483293396,8.0,0.5089934899579937,6.0,1.3187419706678003,12.0,0.3269604079734807,2.0,1.019852605842935,5.0,0.6954712675237634,3.0,0.0,0.0
ENSG00000043462,LCP2,protein_coding,179.13044455263403,2145.0,234.8660337235248,2700.0,166.03661550576555,2011.0,195.8051975399796,2296.0,153.34494174247868,1712.0,179.33537296186643,2114.0,164.34821809447462,1495.5,148.76698562793374,910.0,111.57187507921708,547.0,173.40416936925837,748.0,160.1253448310859,1143.0
ENSG00000043514,TRIT1,protein_coding,23.63352718340113,283.0,18.528320438189176,213.0,26.585673890033068,322.0,21.405533354762575,251.0,18.9889764307275,212.0,22.31088130982539,263.0,25.825363592244425,235.0,17.8193422345547,109.0,18.969258468678586,93.0,14.604896617999032,63.0,18.352073642057963,131.0
ENSG00000043591,ADRB1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0852810093815242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318237558412545,1.0,0.0,0.0
ENSG00000044012,GUCA2B,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
